SMILES,MP
OC(O)=CCCCCCCCC=C(O)O,109.0
CC(=O)OC1CC2(OC(=O)C)C(=C)C(=O)C3(C1C1(C)C(CCC(C1CC3OC(=O)C)(C)C)OC(=O)C)C2OC(=O)C,280.0
C=C1C(=O)C23C(OC(C)=O)CC4C(C)(C)CCC(OC(C)=O)C4(C)C2C(OC(C)=O)CC1(OC(C)=O)C3OC(C)=O,280.0
[CH2]=[C]1[C](=[O])[C]23[CH]([O][C]([CH3])=[O])[CH2][CH]4[C]([CH3])([CH3])[CH2][CH2][CH]([O][C]([CH3])=[O])[C]4([CH3])[CH]2[CH]([O][C]([CH3])=[O])[CH2][C]1([O][C]([CH3])=[O])[CH]3[O][C]([CH3])=[O],280.0
C=C(O)OC12CC(OC(C)=O)C3C4(C)C(OC(C)=O)CCC(C)(C)C4CC(OC(C)=O)C3(C(=O)C1=C)C2OC(C)=O,280.0
C=C(O)OC1C2(OC(=C)O)CC(OC(C)=O)C3C4(C)C(OC(C)=O)CCC(C)(C)C4CC(OC(C)=O)C13C(=O)C2=C,280.0
C=C(O)OC1C2(OC(C)=O)CC(OC(C)=O)C3C4(C)C(OC(C)=O)CCC(C)(C)C4CC(OC(C)=O)C13C(=O)C2=C,280.0
C=C(O)OC1CC2(OC(=C)O)C(=C)C(=O)C3(C(OC(=C)O)CC4C(C)(C)CCC(OC(=C)O)C4(C)C13)C2OC(=C)O,280.0
C=C(O)OC1CC2(OC(=C)O)C(=C)C(=O)C3(C(OC(=C)O)CC4C(C)(C)CCC(OC(=C)O)C4(C)C13)C2OC(C)=O,280.0
C=C(O)OC1CC2(OC(=C)O)C(=C)C(=O)C3(C(OC(=C)O)CC4C(C)(C)CCC(OC(C)=O)C4(C)C13)C2OC(=C)O,280.0
C=C(O)OC1CC2(OC(=C)O)C(=C)C(=O)C3(C(OC(=C)O)CC4C(C)(C)CCC(OC(C)=O)C4(C)C13)C2OC(C)=O,280.0
C=C(O)OC1CC2(OC(=C)O)C(=C)C(=O)C3(C(OC(C)=O)CC4C(C)(C)CCC(OC(=C)O)C4(C)C13)C2OC(=C)O,280.0
C=C(O)OC1CC2(OC(=C)O)C(=C)C(=O)C3(C(OC(C)=O)CC4C(C)(C)CCC(OC(=C)O)C4(C)C13)C2OC(C)=O,280.0
C=C(O)OC1CC2(OC(=C)O)C(=C)C(=O)C3(C(OC(C)=O)CC4C(C)(C)CCC(OC(C)=O)C4(C)C13)C2OC(=C)O,280.0
C=C(O)OC1CC2(OC(=C)O)C(=C)C(=O)C3(C(OC(C)=O)CC4C(C)(C)CCC(OC(C)=O)C4(C)C13)C2OC(C)=O,280.0
C=C(O)OC1CC2(OC(C)=O)C(=C)C(=O)C3(C(OC(=C)O)CC4C(C)(C)CCC(OC(=C)O)C4(C)C13)C2OC(=C)O,280.0
C=C(O)OC1CC2(OC(C)=O)C(=C)C(=O)C3(C(OC(=C)O)CC4C(C)(C)CCC(OC(=C)O)C4(C)C13)C2OC(C)=O,280.0
C=C(O)OC1CC2(OC(C)=O)C(=C)C(=O)C3(C(OC(=C)O)CC4C(C)(C)CCC(OC(C)=O)C4(C)C13)C2OC(=C)O,280.0
C=C(O)OC1CC2(OC(C)=O)C(=C)C(=O)C3(C(OC(=C)O)CC4C(C)(C)CCC(OC(C)=O)C4(C)C13)C2OC(C)=O,280.0
C=C(O)OC1CC2(OC(C)=O)C(=C)C(=O)C3(C(OC(C)=O)CC4C(C)(C)CCC(OC(=C)O)C4(C)C13)C2OC(=C)O,280.0
C=C(O)OC1CC2(OC(C)=O)C(=C)C(=O)C3(C(OC(C)=O)CC4C(C)(C)CCC(OC(=C)O)C4(C)C13)C2OC(C)=O,280.0
C=C(O)OC1CC2(OC(C)=O)C(=C)C(=O)C3(C(OC(C)=O)CC4C(C)(C)CCC(OC(C)=O)C4(C)C13)C2OC(=C)O,280.0
C=C(O)OC1CC2(OC(C)=O)C(=C)C(=O)C3(C(OC(C)=O)CC4C(C)(C)CCC(OC(C)=O)C4(C)C13)C2OC(C)=O,280.0
C=C(O)OC1CC2C(C)(C)CCC(OC(C)=O)C2(C)C2C(OC(C)=O)CC3(OC(=C)O)C(=C)C(=O)C12C3OC(=C)O,280.0
C=C(O)OC1CC2C(C)(C)CCC(OC(C)=O)C2(C)C2C(OC(C)=O)CC3(OC(=C)O)C(=C)C(=O)C12C3OC(C)=O,280.0
C=C(O)OC1CC2C(C)(C)CCC(OC(C)=O)C2(C)C2C(OC(C)=O)CC3(OC(C)=O)C(=C)C(=O)C12C3OC(=C)O,280.0
C=C(O)OC1CC2C(C)(C)CCC(OC(C)=O)C2(C)C2C(OC(C)=O)CC3(OC(C)=O)C(=C)C(=O)C12C3OC(C)=O,280.0
C=C(O)OC1CCC(C)(C)C2CC(OC(=C)O)C34C(=O)C(=C)C(OC(=C)O)(CC(OC(C)=O)C3C12C)C4OC(=C)O,280.0
C=C(O)OC1CCC(C)(C)C2CC(OC(=C)O)C34C(=O)C(=C)C(OC(=C)O)(CC(OC(C)=O)C3C12C)C4OC(C)=O,280.0
C=C(O)OC1CCC(C)(C)C2CC(OC(=C)O)C34C(=O)C(=C)C(OC(C)=O)(CC(OC(C)=O)C3C12C)C4OC(=C)O,280.0
C=C(O)OC1CCC(C)(C)C2CC(OC(=C)O)C34C(=O)C(=C)C(OC(C)=O)(CC(OC(C)=O)C3C12C)C4OC(C)=O,280.0
C=C(O)OC1CCC(C)(C)C2CC(OC(C)=O)C34C(=O)C(=C)C(OC(=C)O)(CC(OC(C)=O)C3C12C)C4OC(=C)O,280.0
C=C(O)OC1CCC(C)(C)C2CC(OC(C)=O)C34C(=O)C(=C)C(OC(=C)O)(CC(OC(C)=O)C3C12C)C4OC(C)=O,280.0
C=C(O)OC1CCC(C)(C)C2CC(OC(C)=O)C34C(=O)C(=C)C(OC(C)=O)(CC(OC(C)=O)C3C12C)C4OC(=C)O,280.0
C=C(O)OC1CCC(C)(C)C2CC(OC(C)=O)C34C(=O)C(=C)C(OC(C)=O)(CC(OC(C)=O)C3C12C)C4OC(C)=O,280.0
c1ccc(cc1)C(=C=C(c1ccccc1)c1ccccc1)c1ccccc1,140.0
C(=C(C1=CC=CC=C1)C1=CC=CC=C1)=C(C1=CC=CC=C1)C1=CC=CC=C1,140.0
C(=C(c1ccccc1)c1ccccc1)=C(c1ccccc1)c1ccccc1,140.0
[C](=[C]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1)=[C]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1,140.0
COC(=O)c1ccccc1SC,65.0
COC(=O)C1=CC=CC=C1SC,65.0
[CH3][O][C](=[O])[c]1[cH][cH][cH][cH][c]1[S][CH3],65.0
Clc1cc2c(cc1Cl)oc1c2cc(Cl)c(c1Cl)Cl,196.0
ClC1=CC2=C(C=C1Cl)C1=C(O2)C(Cl)=C(Cl)C(Cl)=C1,196.0
Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl,196.0
[Cl][c]1[cH][c]2[o][c]3[c]([Cl])[c]([Cl])[c]([Cl])[cH][c]3[c]2[cH][c]1[Cl],196.0
ClC1=C(Cl)C=C2C(=C1)OC1=C(Cl)C(Cl)=C(Cl)C=C12,196.0
OC(=O)Cc1cc(F)cc(c1)Cl,84.0
O=C(O)CC1=CC(F)=CC(Cl)=C1,84.0
O=C(O)Cc1cc(F)cc(Cl)c1,84.0
[O]=[C]([OH])[CH2][c]1[cH][c]([F])[cH][c]([Cl])[cH]1,84.0
O=C(O)CC1=CC(Cl)=CC(F)=C1,84.0
OC(O)=Cc1cc(F)cc(Cl)c1,84.0
Brc1ccc(cc1)S(=O)(=O)Cl,75.0
O=S(=O)(Cl)C1=CC=C(Br)C=C1,75.0
O=S(=O)(Cl)c1ccc(Br)cc1,75.0
[O]=[S](=[O])([Cl])[c]1[cH][cH][c]([Br])[cH][cH]1,75.0
COC(=O)C1(CCCCC1)S(=O)(=O)c1ccc(cc1)C,145.5
COC(=O)C1(S(=O)(=O)C2=CC=C(C)C=C2)CCCCC1,145.5
COC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CCCCC1,145.5
[CH3][O][C](=[O])[C]1([S](=[O])(=[O])[c]2[cH][cH][c]([CH3])[cH][cH]2)[CH2][CH2][CH2][CH2][CH2]1,145.5
O=C(c1ccccc1)C=Cc1ccc(cc1)OC(=O)c1ccco1,115.0
O=C(C=CC1=CC=C(OC(=O)C2=CC=CO2)C=C1)C1=CC=CC=C1,115.0
O=C(C=Cc1ccc(OC(=O)c2ccco2)cc1)c1ccccc1,115.0
[O]=[C]([CH]=[CH][c]1[cH][cH][c]([O][C](=[O])[c]2[cH][cH][cH][o]2)[cH][cH]1)[c]1[cH][cH][cH][cH][cH]1,115.0
O=C(OC(C)(C)C)CC[C@@H](C(=O)O)NC(=O)OC(C)(C)C,111.0
CC(C)(C)OC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)O,111.0
[CH3][C]([CH3])([CH3])[O][C](=[O])[CH2][CH2][C@H]([NH][C](=[O])[O][C]([CH3])([CH3])[CH3])[C](=[O])[OH],111.0
CC(C)(C)OC(=O)CC[C@H](N=C(O)OC(C)(C)C)C(=O)O,111.0
CC(C)(C)OC(=O)CCC(N=C(O)OC(C)(C)C)=C(O)O,111.0
CC(C)(C)OC(=O)CCC(N=C(O)OC(C)(C)C)C(=O)O,111.0
CC(C)(C)OC(=O)CCC(NC(=O)OC(C)(C)C)=C(O)O,111.0
CC(C)(C)OC(=O)CCC(NC(=O)OC(C)(C)C)C(=O)O,111.0
CC(C)(C)OC(=O)NC(CC=C(O)OC(C)(C)C)=C(O)O,111.0
CC(C)(C)OC(=O)NC(CC=C(O)OC(C)(C)C)C(=O)O,111.0
CC(C)(C)OC(O)=CCC(N=C(O)OC(C)(C)C)=C(O)O,111.0
CC(C)(C)OC(O)=CCC(N=C(O)OC(C)(C)C)C(=O)O,111.0
Fc1cc(F)c(c(c1F)N)F,31.0
NC1=C(F)C(F)=CC(F)=C1F,31.0
Nc1c(F)c(F)cc(F)c1F,31.0
[NH2][c]1[c]([F])[c]([F])[cH][c]([F])[c]1[F],31.0
O=C(N1CCCN(CCNCCCN(CC1)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)OC(C)(C)C,51.0
CC(C)(C)OC(=O)N1CCCN(C(=O)OC(C)(C)C)CCN(C(=O)OC(C)(C)C)CCCNCC1,51.0
[CH3][C]([CH3])([CH3])[O][C](=[O])[N]1[CH2][CH2][CH2][N]([C](=[O])[O][C]([CH3])([CH3])[CH3])[CH2][CH2][N]([C](=[O])[O][C]([CH3])([CH3])[CH3])[CH2][CH2][CH2][NH][CH2][CH2]1,51.0
OCN(c1nc(nc(n1)N(CO)CO)N(CO)CO)CO,137.0
OCN(CO)C1=NC(N(CO)CO)=NC(N(CO)CO)=N1,137.0
OCN(CO)c1nc(N(CO)CO)nc(N(CO)CO)n1,137.0
[OH][CH2][N]([CH2][OH])[c]1[n][c]([N]([CH2][OH])[CH2][OH])[n][c]([N]([CH2][OH])[CH2][OH])[n]1,137.0
N#CC1CC2CC1C(=NOC(=O)NC)C2Cl,143.5
CNC(=O)ON=C1C(Cl)C2CC(C#N)C1C2,143.5
[CH3][NH][C](=[O])[O][N]=[C]1[CH]([Cl])[CH]2[CH2][CH]([C]#[N])[CH]1[CH2]2,143.5
CN=C(O)ON=C1C(Cl)C2CC(C#N)C1C2,143.5
Nc1ncnc2c1cnn2CCO,218.0
NC1=NC=NC2=C1C=NN2CCO,218.0
[NH2][c]1[n][cH][n][c]2[c]1[cH][n][n]2[CH2][CH2][OH],218.0
NC1=C2C=NN(CCO)C2=NC=N1,218.0
N=c1[nH]cnc2c1cnn2CCO,218.0
N=c1nc[nH]c2c1cnn2CCO,218.0
N=c1ncnc2n(CCO)[nH]cc1-2,218.0
ONc1ccccc1,83.5
ONC1=CC=CC=C1,83.5
[OH][NH][c]1[cH][cH][cH][cH][cH]1,83.5
OB(c1ccc(cc1F)C(F)(F)F)O,114.0
OB(O)C1=CC=C(C(F)(F)F)C=C1F,114.0
OB(O)c1ccc(C(F)(F)F)cc1F,114.0
[OH][B]([OH])[c]1[cH][cH][c]([C]([F])([F])[F])[cH][c]1[F],114.0
OB(O)C1=C(F)C=C(C(F)(F)F)C=C1,114.0
CCCC=CB(O)O,80.0
[CH3][CH2][CH2][CH]=[CH][B]([OH])[OH],80.0
OC(=O)c1cc(F)c(c(c1F)Br)F,123.0
O=C(O)C1=CC(F)=C(F)C(Br)=C1F,123.0
O=C(O)c1cc(F)c(F)c(Br)c1F,123.0
[O]=[C]([OH])[c]1[cH][c]([F])[c]([F])[c]([Br])[c]1[F],123.0
CC(CC1=CC(=Cc2ccc(o2)c2ccc(cc2)[N+](=O)[O-])C(=O)O1)C,163.0
CC(C)CC1=CC(=CC2=CC=C(C3=CC=C([N+](=O)[O-])C=C3)O2)C(=O)O1,163.0
CC(C)CC1=CC(=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)O1,163.0
[CH3][CH]([CH3])[CH2][C]1=[CH][C](=[CH][c]2[cH][cH][c](-[c]3[cH][cH][c]([N+](=[O])[O-])[cH][cH]3)[o]2)[C](=[O])[O]1,163.0
OC(=O)Cc1cccc(c1)O,130.0
O=C(O)CC1=CC=CC(O)=C1,130.0
O=C(O)Cc1cccc(O)c1,130.0
[O]=[C]([OH])[CH2][c]1[cH][cH][cH][c]([OH])[cH]1,130.0
O=C(O)CC1=CC(O)=CC=C1,130.0
O=C(O)C=C1C=C(O)C=CC1,130.0
O=C(O)C=C1C=CC=C(O)C1,130.0
O=C(O)C=C1C=CCC(=O)C1,130.0
O=C(O)C=C1C=CCC(O)=C1,130.0
O=C(O)C=C1CC=CC(=O)C1,130.0
O=C(O)CC1=CC(=O)CC=C1,130.0
O=C(O)CC1=CC=CC(=O)C1,130.0
O=C1C=C(C=C(O)O)C=CC1,130.0
O=C1C=CC=C(C=C(O)O)C1,130.0
O=C1C=CCC(C=C(O)O)=C1,130.0
O=C1C=CCC(CC(=O)O)=C1,130.0
OC(O)=Cc1cccc(O)c1,130.0
Cc1cc(C)nc(n1)N,153.0
CC1=CC(C)=NC(N)=N1,153.0
Cc1cc(C)nc(N)n1,153.0
[CH3][c]1[cH][c]([CH3])[n][c]([NH2])[n]1,153.0
Cc1cc(C)[nH]c(=N)n1,153.0
CC1=NC(=N)NC(C)=C1,153.0
C=C1C=C(C)N=C(N)N1,153.0
C=C1C=C(C)NC(=N)N1,153.0
C=C1C=C(C)NC(N)=N1,153.0
NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2,200.0
NS(=O)(=O)C1=CC2=C(S1)S(=O)(=O)CCC2,200.0
[NH2][S](=[O])(=[O])[c]1[cH][c]2[c]([s]1)[S](=[O])(=[O])[CH2][CH2][CH2]2,200.0
CSC(=Nc1ccccc1)C(=C(SC)N)C#N,177.0
CSC(=NC1=CC=CC=C1)C(C#N)=C(N)SC,177.0
CSC(=Nc1ccccc1)C(C#N)=C(N)SC,177.0
[CH3][S][C](=[N][c]1[cH][cH][cH][cH][cH]1)[C]([C]#[N])=[C]([NH2])[S][CH3],177.0
CSC(=N)C(C#N)=C(Nc1ccccc1)SC,177.0
CSC(=N)C(C#N)C(=Nc1ccccc1)SC,177.0
N#CC(=Cc1ccccc1)c1nc2c(s1)cccc2,106.0
N#CC(=CC1=CC=CC=C1)C1=NC2=C(C=CC=C2)S1,106.0
N#CC(=Cc1ccccc1)c1nc2ccccc2s1,106.0
[N]#[C][C](=[CH][c]1[cH][cH][cH][cH][cH]1)[c]1[n][c]2[cH][cH][cH][cH][c]2[s]1,106.0
N#CC(=CC1=CC=CC=C1)C1=NC2=CC=CC=C2S1,106.0
N#CC(c1ccccc1[N+](=O)[O-])C,51.0
CC(C#N)C1=CC=CC=C1[N+](=O)[O-],51.0
CC(C#N)c1ccccc1[N+](=O)[O-],51.0
[CH3][CH]([C]#[N])[c]1[cH][cH][cH][cH][c]1[N+](=[O])[O-],51.0
OCc1ccccc1c1ccccc1,49.0
OCC1=CC=CC=C1C1=CC=CC=C1,49.0
OCc1ccccc1-c1ccccc1,49.0
[OH][CH2][c]1[cH][cH][cH][cH][c]1-[c]1[cH][cH][cH][cH][cH]1,49.0
Clc1ccc(c(c1)Cl)C=Cc1c2ccccc2n(c1C)S(=O)(=O)c1ccccc1,109.85
CC1=C(C=CC2=CC=C(Cl)C=C2Cl)C2=CC=CC=C2N1S(=O)(=O)C1=CC=CC=C1,109.85
Cc1c(C=Cc2ccc(Cl)cc2Cl)c2ccccc2n1S(=O)(=O)c1ccccc1,109.85
[CH3][c]1[c]([CH]=[CH][c]2[cH][cH][c]([Cl])[cH][c]2[Cl])[c]2[cH][cH][cH][cH][c]2[n]1[S](=[O])(=[O])[c]1[cH][cH][cH][cH][cH]1,109.85
CC1=C(C=CC2=C(Cl)C=C(Cl)C=C2)C2=CC=CC=C2N1S(=O)(=O)C1=CC=CC=C1,109.85
Cc1c2OC(C)(CCc2c(c(c1C)O)C)C(=O)O,189.0
CC1=C(O)C(C)=C2CCC(C)(C(=O)O)OC2=C1C,189.0
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,189.0
[CH3][c]1[c]([CH3])[c]2[c]([c]([CH3])[c]1[OH])[CH2][CH2][C]([CH3])([C](=[O])[OH])[O]2,189.0
C=C1C(C)=C(O)C(C)C2=C1OC(C)(C(=O)O)CC2,189.0
C=C1C2=C(CCC(C)(C(=O)O)O2)C(C)=C(O)C1C,189.0
C=C1C2=C(CCC(C)(C(=O)O)O2)C(C)C(=O)C1C,189.0
CC1=C(C)C2=C(CCC(C)(C(=O)O)O2)C(C)C1=O,189.0
CC1=C(O)C(C)C(C)=C2OC(C)(C(=O)O)CC=C12,189.0
CC1=C2CCC(C)(C(=O)O)OC2=C(C)C(C)C1=O,189.0
CC1=C2OC(C)(C(=O)O)CC=C2C(C)C(=O)C1C,189.0
CC1=C2OC(C)(C(=O)O)CC=C2C(C)C(O)=C1C,189.0
Clc1ccc(cc1)C=NNc1ccccc1,127.0
ClC1=CC=C(C=NNC2=CC=CC=C2)C=C1,127.0
Clc1ccc(C=NNc2ccccc2)cc1,127.0
[Cl][c]1[cH][cH][c]([CH]=[N][NH][c]2[cH][cH][cH][cH][cH]2)[cH][cH]1,127.0
COc1ccc(cc1S(=O)(=O)Cl)Br,114.0
COC1=CC=C(Br)C=C1S(=O)(=O)Cl,114.0
COc1ccc(Br)cc1S(=O)(=O)Cl,114.0
[CH3][O][c]1[cH][cH][c]([Br])[cH][c]1[S](=[O])(=[O])[Cl],114.0
COC1=C(S(=O)(=O)Cl)C=C(Br)C=C1,114.0
O=C1C=CC2(C(=C1)CCC1C2CCC2(C1CCC2O)C)C,165.0
CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,165.0
[CH3][C]12[CH]=[CH][C](=[O])[CH]=[C]1[CH2][CH2][CH]1[CH]2[CH2][CH2][C]2([CH3])[CH]([OH])[CH2][CH2][CH]12,165.0
CC12C=CC(=O)CC1=CCC1C2CCC2(C)C(O)CCC12,165.0
CC12C=CC(O)=CC1=CCC1C2CCC2(C)C(O)CCC12,165.0
OC(=O)Cc1ccc(cc1F)F,118.0
O=C(O)CC1=CC=C(F)C=C1F,118.0
O=C(O)Cc1ccc(F)cc1F,118.0
[O]=[C]([OH])[CH2][c]1[cH][cH][c]([F])[cH][c]1[F],118.0
O=C(O)CC1=C(F)C=C(F)C=C1,118.0
OC(O)=Cc1ccc(F)cc1F,118.0
CC(=C)C,-140.0
C=C(C)C,-140.0
[CH2]=[C]([CH3])[CH3],-140.0
COc1ccc(c(c1)C(=O)O)[N+](=O)[O-],133.0
COC1=CC=C([N+](=O)[O-])C(C(=O)O)=C1,133.0
COc1ccc([N+](=O)[O-])c(C(=O)O)c1,133.0
[CH3][O][c]1[cH][cH][c]([N+](=[O])[O-])[c]([C](=[O])[OH])[cH]1,133.0
COC1=CC(C(=O)O)=C([N+](=O)[O-])C=C1,133.0
COc1cc2oc(cc(=O)c2c(c1OC)OC)c1ccccc1,166.0
COC1=CC2=C(C(OC)=C1OC)C(=O)C=C(C1=CC=CC=C1)O2,166.0
COc1cc2oc(-c3ccccc3)cc(=O)c2c(OC)c1OC,166.0
[CH3][O][c]1[cH][c]2[o][c](-[c]3[cH][cH][cH][cH][cH]3)[cH][c](=[O])[c]2[c]([O][CH3])[c]1[O][CH3],166.0
c1ccc(cc1)CCc1ccc(cc1)C#Cc1ccccc1,105.0
C(#CC1=CC=C(CCC2=CC=CC=C2)C=C1)C1=CC=CC=C1,105.0
C(#Cc1ccc(CCc2ccccc2)cc1)c1ccccc1,105.0
[C](#[C][c]1[cH][cH][c]([CH2][CH2][c]2[cH][cH][cH][cH][cH]2)[cH][cH]1)[c]1[cH][cH][cH][cH][cH]1,105.0
CCc1c(C(=O)O)c(=O)cnn1c1ccc(cc1)Cl,269.0
CCC1=C(C(=O)O)C(=O)C=NN1C1=CC=C(Cl)C=C1,269.0
CCc1c(C(=O)O)c(=O)cnn1-c1ccc(Cl)cc1,269.0
[CH3][CH2][c]1[c]([C](=[O])[OH])[c](=[O])[cH][n][n]1-[c]1[cH][cH][c]([Cl])[cH][cH]1,269.0
O=C(NC1(CCCC1)C(=O)O)OC(C)(C)C,133.0
CC(C)(C)OC(=O)NC1(C(=O)O)CCCC1,133.0
[CH3][C]([CH3])([CH3])[O][C](=[O])[NH][C]1([C](=[O])[OH])[CH2][CH2][CH2][CH2]1,133.0
CC(C)(C)OC(O)=NC1(C(=O)O)CCCC1,133.0
O=C(NC(c1ccccc1)C(=O)O)OCC(Cl)(Cl)Cl,142.0
O=C(NC(C(=O)O)C1=CC=CC=C1)OCC(Cl)(Cl)Cl,142.0
O=C(NC(C(=O)O)c1ccccc1)OCC(Cl)(Cl)Cl,142.0
[O]=[C]([NH][CH]([C](=[O])[OH])[c]1[cH][cH][cH][cH][cH]1)[O][CH2][C]([Cl])([Cl])[Cl],142.0
O=C(O)C(N=C(O)OCC(Cl)(Cl)Cl)c1ccccc1,142.0
O=C(O)C(N=C(O)OCC(Cl)(Cl)Cl)C1=CC=CC=C1,142.0
O=C(NC(=C(O)O)c1ccccc1)OCC(Cl)(Cl)Cl,142.0
OC(=NC(=C(O)O)c1ccccc1)OCC(Cl)(Cl)Cl,142.0
Nc1ccc(cc1)O,188.0
NC1=CC=C(O)C=C1,188.0
Nc1ccc(O)cc1,188.0
[NH2][c]1[cH][cH][c]([OH])[cH][cH]1,188.0
N=C1C=CC(=O)CC1,188.0
N=C1C=CC(O)=CC1,188.0
NC1=CCC(=O)C=C1,188.0
N#Cc1ccccc1C,-14.0
CC1=CC=CC=C1C#N,-14.0
Cc1ccccc1C#N,-14.0
[CH3][c]1[cH][cH][cH][cH][c]1[C]#[N],-14.0
COC1C(O)C(OC2C(OC(C(C2O)O)C)Oc2cccc3c2c2oc(=O)c4c5c2c(c3O)c(=O)oc5ccc4C)OC(C1O)C,185.0
COC1C(O)C(C)OC(OC2C(OC3=CC=CC4=C3C3=C5C(=C4O)C(=O)OC4=CC=C(C)C(=C45)C(=O)O3)OC(C)C(O)C2O)C1O,185.0
COC1C(O)C(C)OC(OC2C(Oc3cccc4c(O)c5c(=O)oc6ccc(C)c7c(=O)oc(c34)c5c67)OC(C)C(O)C2O)C1O,185.0
[CH3][O][CH]1[CH]([OH])[CH]([CH3])[O][CH]([O][CH]2[CH]([O][c]3[cH][cH][cH][c]4[c]([OH])[c]5[c](=[O])[o][c]6[cH][cH][c]([CH3])[c]7[c](=[O])[o][c]([c]34)[c]5[c]67)[O][CH]([CH3])[CH]([OH])[CH]2[OH])[CH]1[OH],185.0
COC1C(O)C(C)OC(OC2C(OC3=CC=CC4=C3C3=C5C(=C4O)C(=O)OC4=C5C(=C(C)C=C4)C(=O)O3)OC(C)C(O)C2O)C1O,185.0
COC1C(O)C(C)OC(OC2C(Oc3cccc4c(=O)c5c(O)oc6ccc(C)c7c(=O)oc(c-5c67)c34)OC(C)C(O)C2O)C1O,185.0
O=C(c1nn(c(=N)s1)c1ccncc1)c1cccs1,131.0
