SMILES,Mpexp,GNN1,GNN2,GNN3,GNN4,GNN5,GNN6,GNN7,GNN8,GNN9,GNN10,consensus GNN,SD
CC1CC(C)CN(C1)C1=C(C=C(C=C1)C(O)=O)[N+]([O-])=O,168,170.68777,130.3265,127.674545,151.98079,132.6143,125.05224,130.2048,117.79692,168.72604,161.25072,141.6314625,18.5683617305054
OC(=O)C1=C(OCC2=CC=C(Cl)C=C2)C=CC=C1,86,122.28574,109.56763,109.97819,114.021576,111.08254,121.89546,143.78484,128.0026,128.86024,141.04088,123.0519696,11.7948656713501
OC(=O)C1=C(OCC2=C(Cl)C=C(Cl)C=C2)C=CC=C1,163,153.20872,151.37724,162.72018,144.02925,153.64236,165.1599,162.37689,175.80527,189.13431,185.42552,164.287964,14.201537814156
OC(=O)C1=C(OCC2=C(Cl)C=CC=C2)C=CC=C1,120,141.16399,138.17209,146.2506,165.63045,142.96179,136.85837,158.05179,170.86142,164.59433,165.43034,152.997517,12.489400625906
OC(=O)CCSC1=CC=CC=C1,60,69.89542,56.32621,69.48697,91.58448,60.38982,48.880524,78.683624,70.33624,54.013084,62.202953,66.1799325,11.9895326177272
OC(=O)C1=CC=CC2=CC=CC(C3=CC=CC4=CC=CC(C(O)=O)=C34)=C12,285,290.48587,319.38696,348.04462,308.6595,291.1014,273.6777,287.7135,326.32953,348.32825,309.70944,310.343677,24.1368443769823
CC(=O)OC1=CC=C(C=C1)C1=CC=C(C=C1)C(O)=O,276,260.3355,300.33926,252.82945,279.3734,267.63483,282.2058,247.82956,258.87018,242.53125,266.64243,265.859166,16.6158929912504
CC1=C(SCC(O)=O)C=CC(Br)=C1,126,106.84564,124.01676,125.00297,110.67491,126.78223,107.76749,144.98875,120.71386,93.500336,77.3444,113.7637346,18.0404020732683
OC(=O)C1=CC=C(CSC2=CC=C(Cl)C=C2)C=C1,183,202.28839,228.02571,200.32726,236.75871,206.50392,211.31833,196.16956,207.03041,211.72264,208.52237,210.86673,11.8561561416102
OC(=O)C(=CC1=CC=C(F)C=C1)C1=CC=CS1,186,176.20456,155.45851,207.38058,167.56125,168.92505,176.35454,187.2028,156.11119,206.53407,195.83078,179.756333,17.9824496556704
OC(=O)CCS(=O)(=O)C1=CC=C(Cl)C=C1,182,128.27013,143.59657,75.11358,144.82176,109.67917,153.23627,136.61671,128.4277,141.04364,130.04652,129.085205,21.2903072769076
OC(=O)C1=C(OCC2=CC=C(F)C=C2)C=CC=C1,82,99.028114,90.828545,103.86014,102.73397,87.788635,101.55176,128.77026,91.29398,108.71748,105.22854,101.9801424,11.075224195485
OC(=O)COC1=CC(=CC=C1)C(F)(F)F,86,102.03609,118.68501,111.17823,99.60329,121.163315,105.19715,111.268,147.39375,119.69006,132.44206,116.8656955,13.8639315195201
OC(=O)COC1=CC(F)=CC=C1,116,103.89144,125.07207,102.41627,91.18979,96.983536,104.59803,106.67291,119.26562,118.44508,103.25011,107.1784856,10.0430103715799
OC(=O)COC1=C(C=CC=C1)C1=CC=CC=C1,103,179.19734,159.09106,178.45908,177.56438,141.9033,155.85411,155.7628,161.11676,170.28528,155.93312,163.516723,11.7522005461752
OC(=O)C1=C(OCCOC2=CC=CC=C2)C=CC=C1,85,132.29303,114.05739,120.68524,142.90518,112.343414,124.20325,137.32852,114.63663,120.46382,124.496506,124.341298,9.74088804843066
OC(=O)CCSC1=CC=C(Cl)C=C1,86,96.798546,86.52895,90.23748,98.38915,73.84622,83.3555,87.23526,103.10284,79.50601,91.708984,89.070894,8.47075507260783
COC1=CC=C(OCCC(O)=O)C=C1,105,121.57959,120.27313,88.748764,103.4329,104.02226,108.39929,103.05022,91.06724,100.10274,103.21846,104.3894594,10.0427775630904
CC1=C(OCCC(O)=O)C=CC=C1,93,98.52146,59.660606,87.29771,109.055,112.171585,101.90282,114.277885,105.87847,88.605545,97.52805,97.4899131,15.2837017084726
OC(=O)COC1=CC=C(C=C1)C1=CC=CC=C1,196,164.99438,182.28664,161.57733,169.37279,161.83951,168.1247,174.32239,179.96169,173.14203,166.48685,170.210831,6.76129621317607
CC1=CC(=O)OC2=C1C=CC(OCC(O)=O)=C2,207,177.07704,238.89479,186.25085,188.31467,216.18001,168.73276,185.33504,189.99643,189.1098,191.45891,193.13503,19.0753423980289
COC1=C(OC)C=C(C=C1)C1=NN(C=C1C=CC(O)=O)C1=CC=CC=C1,163,184.83327,162.59615,150.58972,206.00812,209.90944,197.60747,202.19635,176.75916,199.86815,181.8273,187.219513,18.5803355664305
OC(=O)COC1=CC=C(C=C1)C#N,178,154.50076,173.23906,168.68152,179.13002,167.03188,159.38301,170.18387,171.16095,164.926,171.5125,167.974957,6.67645543516475
NC1=NN=C(SCC(O)=O)S1,197,176.24026,191.96597,174.50212,192.58775,196.16249,225.93358,201.06108,199.88521,218.49858,192.14912,196.898616,15.2650525424207
OC(=O)CNC(=O)C1=CC(=CC=C1)[N+]([O-])=O,91,175.82793,156.82506,138.43254,162.03973,152.49028,162.02649,154.9597,166.24677,151.87099,147.3252,156.804469,9.8967971184363
CCOC1=C(OCC(O)=O)C=CC=C1,45,110.1108,123.84403,93.53259,114.55615,96.92239,94.37497,127.13682,130.91516,111.97631,106.13044,110.949966,12.8052272270376
OC(=O)COC1=C(C=CC=C1)C#N,183,166.02597,155.20639,147.28712,173.03,129.8804,131.15082,129.39337,148.27934,136.76892,128.70474,144.572707,15.3080275481455
OC(=O)C1=C(NC(=O)C2=CC=C(F)C=C2)C=C(Cl)C=C1,251,225.8989,247.0794,239.89366,213.34566,215.78764,204.88133,218.27841,204.31023,243.55292,212.85417,222.588232,14.9746227557751
CC1=C(NC(=O)C2=CC=CO2)C=C(C=C1)C(O)=O,231,164.35664,189.11809,183.2134,176.71706,153.69388,165.58104,205.78049,177.10835,174.60327,186.76068,177.69329,13.9409251907978
COC1=C(OC)C=C(C(O)=O)C(NC(=O)C2=CC=CO2)=C1,89,201.35986,233.49265,181.81036,185.89993,180.11804,183.64532,209.2224,183.67674,168.6092,164.13544,189.196994,19.4220255714522
OC(=O)CNC(=O)C1=C(Cl)C=CC=C1,183,168.60156,156.13612,152.44585,161.55634,137.96696,152.30971,155.54166,148.11748,157.95851,144.12918,153.476337,8.27368773918022
OC(=O)CCOC1=C(F)C=CC=C1,113,92.493225,55.43793,95.24865,91.181725,98.506836,99.24389,102.035126,103.02101,87.82276,94.083496,91.9074648,12.9882079929059
CCC(=O)C1=CC=C(OCC(O)=O)C=C1,132,127.81113,159.03891,153.32434,131.48273,162.41803,166.94461,155.307,176.30019,154.04167,145.61743,153.228604,14.2143697328733
OC(=O)C(CC1=CC=CC=C1)NC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,150,155.73499,190.31337,180.25256,194.76685,187.94395,164.30176,204.58458,177.07071,186.1457,187.27835,182.839282,13.5865085116485
OC(=O)C=CC1=CN(N=C1C1=CC2=C(OCCO2)C=C1)C1=CC=CC=C1,251,181.97462,167.05989,144.72278,209.26613,209.39734,191.10654,179.1719,178.87234,196.78528,194.3188,185.267562,18.6310277426517
CCC1=C(OCC(O)=O)C=CC=C1,125,105.24306,117.72103,108.25935,116.61169,97.26621,85.435104,109.48379,110.31089,107.13451,98.37404,105.5839674,9.18310556257135
OC(=O)C(=CC1=CC2=C(OCO2)C=C1)C#N,206,201.14081,224.09831,211.8016,233.66405,205.17055,235.08441,187.75813,208.16284,201.4646,262.12814,217.047344,20.6994039191085
CC1=C(Cl)C=CC(OCC(O)=O)=C1,181,137.30243,162.09314,145.77177,124.489136,147.27019,132.27376,142.76012,147.48323,157.79057,140.32076,143.7555106,10.587823477846
OC(=O)CC12CC3CC(CC(Br)(C3)C1)C2,196,98.53189,126.87364,77.16998,105.33799,89.657585,168.09406,118.49109,156.22498,91.39347,178.25092,121.0025605,33.626166193743
CSCCC(N1C(=O)C2=C(C=CC=C2)C1=O)C(O)=O,126,150.13918,136.99458,143.86905,104.67712,157.80894,131.63342,112.85196,128.291,115.096344,126.48654,130.7848134,16.0915963288825
CC(C)(C)C1=CC=C(OCCC(O)=O)C=C1,95,95.25141,87.9099,68.473816,81.01304,72.01136,87.3202,105.32057,87.54859,92.62748,87.207405,86.4683771,10.186109565239
COC1=C(OCCC(O)=O)C=CC=C1,134,107.78561,58.5925,88.62638,106.433105,108.85158,95.82476,119.56302,121.280815,88.22917,94.87769,99.006463,17.4132941404763
CC1=CC(OCCC(O)=O)=C(C)C=C1,118.5,82.160645,59.467846,89.67022,78.9891,131.12088,98.71732,103.413536,95.26712,96.08508,87.55049,92.2442237,17.5563761269765
CCOC1=C(OCCC(O)=O)C=CC=C1,98,107.228386,57.736416,73.38944,92.43432,113.491585,92.055046,122.794846,114.99624,102.12238,99.58496,97.5833619,18.8141814869635
OC(=O)COC1=C(CC2=CC=CC=C2)C=CC=C1,112.5,113.1592,108.1845,121.94933,140.7705,122.68362,118.57917,124.87984,128.91962,129.68091,129.93251,123.87392,8.81198835573675
OC(=O)C1CC1(Cl)Cl,75,148.30438,100.87905,129.14922,155.65323,124.10477,95.96482,133.31424,142.683,107.41794,87.00496,122.447561,22.3495224384081
OC(=O)C1CC2CCCC(C1)C2=O,130,97.45313,152.24744,142.40314,147.53276,159.50821,132.12236,133.05263,136.58304,153.69896,117.01718,137.161885,17.7782031602231
OC(=O)C1=CC(=CC=C1)N1C(=O)CCC1=O,238,206.37181,173.35947,184.1761,186.87599,214.50693,200.66356,168.56995,197.55269,179.27252,249.5257,196.087472,22.5987313456237
CC1=CC=C(C=C1)C12CC3CC(CC(C3)(C1)C(O)=O)C2,175,83.86407,158.17198,162.326,168.63872,83.44864,153.82367,138.80983,135.88327,131.35257,160.56407,137.688282,29.4139810522455
OC(=O)C1=CC=C(CN2C(=O)C3=C(C=CC=C3)C2=O)C=C1,259,247.91063,244.81685,269.6221,258.74335,245.34111,231.97833,251.53026,271.16336,236.89319,235.29333,249.329251,12.9344284952413
OC(=O)C1=CC=C(NC(=O)CCl)C=C1,231,180.3594,221.20976,203.9936,210.18881,182.05069,182.12032,206.72212,227.71259,180.6874,200.69482,199.573951,16.6794697819298
OC(=O)CCCN1C(=O)C2=C(C=CC=C2)C1=O,97,116.8662,140.49387,172.59396,143.11717,137.92815,144.00845,142.28421,124.86354,132.24097,133.84982,138.824634,13.9513521424335
COC1=C(C=C(C=C1)C(=O)NCC(O)=O)[N+]([O-])=O,99,174.4185,177.41339,142.19615,148.91977,150.2025,165.62267,174.00655,152.75275,143.7684,153.68434,158.298502,12.655357799039
OC(=O)CNC(=O)C1=CC=C(Br)C=C1,161,202.9481,177.1276,135.22018,182.37727,195.545,172.73277,178.46118,137.18024,188.33228,164.84119,173.476581,21.3302029847282
OC(=O)CNC(=O)C1=CC(Cl)=CC=C1,99,149.00427,165.68665,149.73387,144.26683,141.30884,120.72731,144.03255,158.33295,142.30528,138.15251,145.355106,11.4074494061295
COC1=CC(NC(=O)COC2=CC=C(C=C2)C(O)=O)=CC=C1,132.5,189.49887,214.42607,202.57283,210.47,191.3659,159.47229,210.95493,217.12952,177.27646,218.00818,199.117505,18.4335708187911
OC(=O)C1CCN(CC1)C=CC(=O)C(F)(F)F,136,107.92391,132.93842,164.60716,156.99332,113.836655,147.02017,192.3208,124.70654,139.33937,135.88875,141.5575095,23.814421260311
OC(=O)C1=C(OCC(=O)NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1,244,126.03994,174.25061,131.07631,148.07803,143.86458,143.19395,149.75809,159.03291,158.01823,171.68263,150.499528,14.90478924705
OC(=O)C12CC3CC(C1)CC(C3)(C2)C1=CC=CC=C1,162,79.60864,151.5292,132.36673,176.4041,64.13838,141.88773,151.08702,123.21804,146.9408,122.17095,128.935159,32.3549252749585
CC(C)CC(N1C(=O)C2=C(C=CC=C2)C1=O)C(O)=O,120,197.95285,189.06273,145.99684,158.82272,177.78842,142.309,156.18645,153.30243,159.06918,146.69464,162.718526,18.0978748626419
CC1=C(CCl)C=C(C=C1CCl)C(O)=O,158,208.93561,220.49007,207.8329,221.86836,200.83191,227.63597,215.65564,265.88116,246.41888,220.23276,223.578326,18.4223647588198
CC(C)C(NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(O)=O,130,142.35107,152.99124,185.74841,144.35535,152.52841,133.45003,135.65161,147.17278,125.35097,120.07543,143.96753,17.3510114901103
OC(=O)CNC(=O)C1CCCCC1,155,122.33636,134.15733,103.9629,128.39775,129.20538,113.2355,133.4267,139.0416,143.34128,119.710754,126.6815554,11.4255101704459
CCOC1=C(C=CC=C1)C(=O)NCC(O)=O,167,132.57475,132.29393,129.13145,119.27663,104.554794,117.06831,165.37741,127.131004,138.47586,129.82481,129.5708948,15.0736374780956
OC(=O)CNC(=O)C1=CC=CS1,170,167.76405,144.44154,146.3016,162.46812,144.59015,153.98074,153.62277,150.03513,156.95784,152.35028,153.251222,7.22536851682708
OC(=O)C1=CC=C(COC2=CC=C(Cl)C=C2)C=C1,202,209.48137,242.27603,213.7265,213.25308,191.37779,197.92668,216.61507,212.36667,201.04889,215.4962,211.356828,13.0396059101905
OC(=O)CNC(=O)C1=CC(F)=CC=C1,154,153.73653,157.982,129.5767,137.44981,133.43777,125.60831,135.26546,152.23218,141.77051,126.85454,139.391381,11.0528393906728
OC(=O)C1=CC=C(NC(=O)CC#N)C=C1,196,192.8109,185.32352,221.383,222.1897,210.60478,198.62238,247.83621,204.2196,214.01488,222.17781,211.918278,17.0440122010193
CCOC1=C(OCC)C=C(C=C1)C(=O)NCC(O)=O,120.5,144.06973,165.5494,144.17046,128.39346,143.8328,148.41908,162.47641,131.38287,161.26544,137.40654,146.696619,12.2349996431593
OC(=O)C1=COCCO1,165,104.61224,98.74388,68.913284,108.60269,69.5449,117.80396,67.821236,71.66775,98.31574,98.69093,90.471661,18.0071710368893
OC(=O)CNC(=O)C1=CC=C(OC2=CC=CC=C2)C=C1,157,170.48944,169.0359,133.72073,149.69298,153.16747,156.84023,148.03049,136.63943,161.6795,169.25954,154.855571,12.4822748337668
OC(=O)CNC(=O)C1=CC=C(Cl)C=C1,215,198.06323,172.53639,147.29756,177.32579,186.16682,167.51413,174.12555,137.43105,182.1306,160.0169,170.260802,17.1886066449697
CC(NC(=O)C1=CC=C(Cl)C=C1)C(O)=O,159,149.97,160.86563,186.53662,183.20964,167.77887,157.45222,166.45924,158.40358,186.09644,166.0762,168.284844,12.1945074969038
OC(=O)CCCNC(=O)C1=CC=C(Cl)C=C1,109,159.36401,176.32074,149.16637,156.6448,177.68326,149.34543,159.84543,138.68256,153.50731,148.03436,156.859427,11.6737749077066
OC(=O)CN1C(=O)C2CCCCC2C1=O,89,135.31091,166.5792,181.98637,150.574,139.95007,161.8123,130.78006,147.55759,184.94661,150.79277,155.028988,17.6039381834724
CC1=C(C=CC(=C1)C(=O)NCC(O)=O)[N+]([O-])=O,217,169.68118,183.6851,130.07373,139.24454,151.74141,139.4845,132.75122,165.42816,141.35104,138.08441,149.152529,17.0103835018799
OC(=O)CNC(=O)C1=CC=C(F)C=C1,170,196.02396,172.2225,159.37073,164.58263,174.08481,165.00687,172.60078,148.96924,167.62227,151.47865,167.196244,12.5907614948439
OC(=O)CCN1C(=O)C2CCCCC2C1=O,82,110.58348,122.82171,132.08742,114.38485,118.23245,136.11761,110.12598,114.301384,131.83133,137.68768,122.8173894,10.2009713823872
CC(C)CC(N1C(=O)C2CC=CCC2C1=O)C(O)=O,136,152.229,144.31767,114.108826,123.94633,118.54645,117.55196,108.56928,105.2035,123.75867,104.59984,121.2831526,15.0760345199068
CC(C)C(NC(=O)C1=CC=C(Cl)C=C1)C(O)=O,198,152.46593,170.43947,130.00925,129.64052,154.1436,135.79941,129.89983,131.41699,159.19598,119.38596,141.239694,15.6860396825376
OC(=O)C1=CC2=C(C=C1)C(=O)N(CCC1=CC=CC=C1)C2=O,216,191.90744,188.8317,217.68271,198.58702,195.62123,199.90623,207.30647,231.22357,209.15543,190.83032,203.105212,12.7430567711894
OCCNC1=C(C=CC=C1)C(O)=O,143,114.64875,137.7652,127.38378,117.94298,118.08076,105.158195,148.61465,139.86125,144.39215,106.31872,126.0166435,15.0345411103628
COC1=C(Cl)C=C(NC(=O)COC2=C(C=CC=C2)C(O)=O)C=C1,230,158.80733,167.55707,144.24911,146.91812,154.77533,157.01447,209.79889,179.2456,165.91501,166.5094,165.079033,17.8428834242995
OC(=O)C1=C(OCC(=O)NC2=C(F)C=CC=C2)C=CC=C1,198,131.4744,167.72676,170.47795,150.09401,138.75143,147.08472,192.99844,137.78703,146.56715,178.11316,156.107505,19.0760605570853
OC(=O)C1=C(OCC(=O)NC2=CC=C(Br)C=C2)C=CC=C1,242,161.24179,174.40753,177.82785,156.02766,166.87381,171.24509,227.20644,190.62747,190.08061,212.18785,182.77261,21.4794707019875
CCOC1=CC=C(C=C1)C(=O)NCC(O)=O,155,148.9593,161.56848,114.87655,147.92268,130.49924,153.77075,152.94263,129.82176,144.42126,145.00333,142.978598,13.2147327322968
COC1=C(OCC(=O)N2CCOCC2)C=CC(=C1)C(O)=O,163,176.80545,167.79759,168.4793,172.34312,170.97548,171.62836,160.87692,181.34427,154.41718,173.46152,169.812919,7.27289539476191
COC1=C(NC(=O)COC2=C(OC)C=C(C=C2)C(O)=O)C=CC=C1,185,200.76073,215.8534,204.39302,177.90492,196.23541,182.50775,216.7925,199.91965,171.93039,208.85425,197.515202,14.71769066304
OC(=O)CNC(=O)C12CC3CC(CC(C3)C1)C2,146,161.29791,151.76035,153.3391,173.92761,178.97797,172.25426,123.072495,158.64557,138.81607,150.93887,156.3030205,16.0558837941694
CC(C)C(NC(=O)C1=CC=C(C)C=C1)C(O)=O,156,133.38594,159.50366,122.44032,124.841736,134.08913,134.99048,108.01105,121.90394,135.10439,117.80374,129.2074386,13.1335257879242
CCOC1=CC=C(OCCCC(O)=O)C=C1,105,138.29416,141.09975,104.17964,123.91073,130.9027,144.27985,129.1536,109.95437,109.01447,129.01791,125.980718,13.3523447019382
OC(=O)CCCSC1=NC2=C(S1)C=CC=C2,104,75.18911,101.3805,107.083244,100.12727,113.265945,113.46391,114.48829,121.48838,99.122406,80.81586,102.6424915,14.1264700577705
OC(=O)C1CCCN(C1)C(=O)C1=CC=C(Cl)C=C1,148.5,130.00119,156.04834,120.08007,180.28973,140.63916,128.70563,134.81435,130.92285,131.8117,113.82677,136.713979,18.0525765349312
CC(C)C(NC(=O)C1=C(F)C=CC=C1)C(O)=O,117,128.79999,130.08221,129.3351,122.42229,111.761604,123.09382,132.80214,129.27756,125.92385,109.09894,124.2597504,7.56295931206703
OC(=O)CCCSC1=CC=C(Cl)C=C1,107,88.1681,89.86424,98.42214,102.020805,83.58047,100.66491,102.36517,89.30482,83.11359,87.20346,92.4707705,7.22034672663663
OC(=O)CC1=C(N=C(S1)C1=CC=CC=C1)C1=CC=CS1,118,163.29817,173.44788,159.90274,159.98808,162.39066,148.51443,164.25073,171.24207,143.42183,131.81128,157.826787,12.2312326797801
COC1=CC=C(C=C(CC(O)=O)C2=NC3=C(S2)C=CC=C3)C=C1,155,146.26918,163.81953,149.9641,153.0585,156.37473,171.13757,172.47482,172.89993,154.23091,164.45262,160.468189,9.28526536704089
COC1=CC(C=C(CC(O)=O)C2=NC3=C(S2)C=CC=C3)=CC=C1,154,130.021,157.86374,141.52454,142.95966,133.36024,151.9305,156.61055,151.10294,161.46327,154.76042,148.159686,10.1396427444553
OC(=O)CCCN1C(=O)C2=CC=CC3=CC=CC(C1=O)=C23,87,146.77142,187.09317,208.10086,187.06306,213.92345,180.47562,159.32515,208.84888,195.07776,195.15259,188.183196,20.4744318002084
CC(=O)OC1=C(OC(C)=O)C=C(C=C1)C(O)=O,160,167.17207,214.87862,175.38359,183.54068,189.21426,166.57831,189.64711,163.17485,175.19318,208.27219,183.305486,16.6411483977658
CC(=O)OC1=CC(=CC(OC(C)=O)=C1OC(C)=O)C(O)=O,164,201.06958,210.12311,187.1149,207.69879,193.98961,215.83542,208.58397,151.83678,214.92279,193.7216,198.489655,18.0235420795532
COC1=CC=C(C=C1)C(=O)NC(C(C)C)C(O)=O,164,129.27429,170.05055,127.58105,129.41489,133.12885,122.27808,127.920876,120.2223,136.83897,124.134926,132.0844782,13.4826960132278
CCOC1=C(C=CC=C1)C(=O)NC(C(C)C)C(O)=O,128,133.38908,132.68535,128.10901,103.53712,129.68248,112.93537,133.0927,110.50068,142.88478,110.15487,123.697144,12.5149283716729
CC(C)OC1=CC=C(C=C1)C(=O)NCC(O)=O,155,146.62364,168.39333,119.9352,141.67802,133.54825,136.2786,132.21611,130.35817,150.06905,139.10481,139.820518,12.5154243474113
CC1=C2C=CC=CC2=NC(SCC(O)=O)=C1,118,158.20573,157.7187,151.41374,170.40547,151.2193,148.04654,172.65848,154.4875,166.29892,138.81155,156.926593,9.97597400029596
OC(=O)C1=CC=C(C=C1)N1C(=O)CSC1=S,282,228.14076,171.31274,205.86075,221.43222,190.48921,281.9465,195.46089,198.70247,218.97789,198.6908,211.101423,28.4006675695942
OC(=O)C1=CC(=CC=C1)N1C(=O)CSC1=S,261,203.82797,126.29763,170.46619,222.37428,218.99,251.63795,169.51352,204.7197,166.23782,210.96138,194.502644,34.2872767475118
OC(=O)C(=CC1=CC=C(Cl)C=C1)C1=CC=C(F)C=C1,205,196.82068,206.88135,227.90874,161.35783,222.65356,187.38835,212.09763,189.55916,200.63097,199.76645,200.506472,18.0417985300124
CC(NC(N)=O)C(O)=O,172,160.41034,156.18022,172.71648,157.54617,186.12453,165.40797,176.46457,167.133,162.0481,170.56824,167.459962,8.80659005996737
CC(=O)C1=CC=C(OCCCC(O)=O)C=C1,137,107.466576,130.74295,105.55976,97.73925,118.78937,120.80611,120.89675,102.222374,115.844055,123.20772,114.3274915,10.0065509462025
OC(=O)C1=CC(=CC=C1)S(=O)(=O)N1CCCC1,158,163.71455,139.08757,182.5433,134.05106,175.7733,169.86293,138.14536,150.30986,142.18959,142.83475,153.851227,16.6854918234987
CCN(CC)S(=O)(=O)C1=CC(=CC=C1)C(O)=O,165,118.743546,157.06342,139.60487,116.712814,154.1513,157.70491,148.87769,145.03142,125.41088,128.94766,139.224851,14.9408369147936
OC(=O)C1=CC(=CC=C1)S(=O)(=O)N1CCCCC1,179,156.82811,150.57268,177.79712,134.73329,163.02176,163.49673,137.73064,162.51215,130.01472,128.29982,150.500702,16.0602758801907
OC(=O)C1=CC(=CC=C1)S(=O)(=O)N1CCOCC1,199,167.3645,153.11656,163.51552,137.45575,153.54445,170.73654,142.17274,156.29573,150.67084,144.29956,153.917219,10.3645295276278
OC(=O)C1=CC=C(NS(=O)(=O)C2=CC=CS2)C=C1,227,180.42267,184.03113,168.93306,194.6871,176.70561,186.34045,150.97855,180.57434,178.58131,161.66759,176.292181,12.0368442082993
OC(=O)C1=CC(=CC=C1)S(=O)(=O)NCC1=CC=CC=C1,226,158.58717,149.95764,139.83098,133.79729,174.13474,161.1449,170.90233,169.37457,158.47145,180.59763,159.67987,14.2465276107015
OC(=O)C1=C(O)C=CC(NS(=O)(=O)C2=CC=CS2)=C1,210,158.23543,166.64879,177.98083,149.10849,149.0978,175.0561,140.83012,158.86629,168.02489,135.52127,157.937001,13.5078366000314
CC1CN(CC(C)O1)S(=O)(=O)C1=CC(=CC=C1)C(O)=O,189,111.023224,151.163,133.86095,119.05723,153.84113,155.25618,145.423,142.53555,112.42579,161.1132,138.5699254,17.5680751789996
