SMILES,MP,GNN1,GNN2,GNN3,GNN4,GNN5,GNN6,GNN7,GNN8,GNN9,GNN10,consensus GNN,SD
CC(=O)OC1=CC=C(C=C1)C1=CC=C(C=C1)C(O)=O,276,273.41122,262.76947,267.0664,254.21788,261.24298,258.26212,268.39114,268.92947,275.53244,266.7203,265.654342,6.26348854627324
CC1=C(SCC(O)=O)C=CC(Br)=C1,126,99.8311,114.68591,103.18819,134.24423,121.448746,101.11436,112.043884,103.84898,119.71618,115.955696,112.6077276,10.3607946211373
OC(=O)C1=CC=C(CSC2=CC=C(Cl)C=C2)C=C1,183,216.88472,197.73999,174.54268,259.65964,211.01254,224.82672,206.3041,225.66763,226.35216,176.38774,211.937792,24.0013052804383
OC(=O)C(=CC1=CC=C(F)C=C1)C1=CC=CS1,186,180.9004,156.03275,150.57411,175.07184,149.002,199.67229,150.0487,180.25264,190.03583,186.85199,171.844255,17.8687846206804
OC(=O)CCS(=O)(=O)C1=CC=C(Cl)C=C1,182,146.91019,134.22653,143.33064,139.80968,127.74258,127.743805,122.279366,141.3344,114.20018,140.05728,133.7634651,9.92554047539478
OC(=O)C1=C(OCC2=CC=C(F)C=C2)C=CC=C1,82,94.29927,109.82212,108.64985,119.72829,93.76608,110.57435,127.05039,98.20414,100.15248,99.35241,106.159938,10.4862734337541
OC(=O)COC1=CC(=CC=C1)C(F)(F)F,86,123.995476,110.51756,127.570656,98.06962,105.27573,98.93388,117.24063,116.61684,106.577866,124.31057,112.9108828,10.0993128349913
OC(=O)COC1=CC(F)=CC=C1,116,109.23416,92.88857,109.24393,116.88136,108.55373,107.15052,103.82847,111.9656,80.29806,99.92792,103.997232,10.0836238654611
OC(=O)COC1=C(C=CC=C1)C1=CC=CC=C1,103,170.54013,166.87457,162.74956,172.89186,177.60909,171.56609,177.69139,177.3867,162.20792,178.62828,171.814559,5.89322471939845
OC(=O)C1=C(OCCOC2=CC=CC=C2)C=CC=C1,85,131.87498,126.19296,121.905075,123.40102,95.81664,95.589294,137.74454,131.41997,88.70128,103.05709,115.5702849,17.0029831162458
OC(=O)CCSC1=CC=C(Cl)C=C1,86,95.43755,95.043625,87.89401,107.81872,89.36473,107.298676,74.57072,104.630684,86.361755,102.27086,95.069133,10.1762673535855
COC1=CC=C(OCCC(O)=O)C=C1,105,111.857216,101.82402,103.20598,109.81176,84.383255,109.11267,102.48635,117.069664,105.54724,94.53457,103.9832725,8.81434402107335
CC1=C(OCCC(O)=O)C=CC=C1,93,95.451416,144.96703,112.73791,109.481926,61.941124,93.120766,97.24385,84.63925,110.22837,92.41714,100.2228782,20.4837939678537
OC(=O)COC1=CC=C(C=C1)C1=CC=CC=C1,196,174.28346,175.98666,163.15988,178.0108,186.61073,146.30406,181.30634,171.19691,161.5291,175.9061,171.429404,11.036459274648
CC1=CC(=O)OC2=C1C=CC(OCC(O)=O)=C2,207,181.72409,178.14993,193.84941,181.91496,207.03911,215.50458,175.19632,176.66399,181.44073,161.63298,185.31161,15.1163903363402
COC1=C(OC)C=C(C=C1)C1=NN(C=C1C=CC(O)=O)C1=CC=CC=C1,163,166.56532,182.52344,162.96431,168.54387,224.39311,185.91786,159.24863,210.53412,178.6689,219.31287,185.867243,22.7597568498181
OC(=O)COC1=CC=C(C=C1)C#N,178,177.36201,176.82178,159.9373,172.2346,152.59564,153.74886,158.03918,166.68153,175.50154,135.52946,162.84519,12.7853197358658
NC1=NN=C(SCC(O)=O)S1,197,181.75769,198.87004,182.38454,163.94563,201.1135,202.74689,173.75427,202.70268,198.11209,178.478,188.386533,13.2937705364235
OC(=O)CNC(=O)C1=CC(=CC=C1)[N+]([O-])=O,91,156.90776,151.75392,191.77391,161.52982,162.25026,163.11218,162.62947,170.65623,158.06801,150.46078,162.914234,11.11081401032
CCOC1=C(OCC(O)=O)C=CC=C1,45,140.56796,123.153366,90.132034,113.38387,105.352234,103.24103,110.86086,123.386444,102.67471,113.49407,112.6246578,13.2582100793433
OC(=O)COC1=C(C=CC=C1)C#N,183,139.66096,160.90962,137.24413,149.98055,127.96288,152.7472,140.24953,162.38127,147.16483,129.1371,144.743807,11.3894713178444
OC(=O)C1=C(NC(=O)C2=CC=C(F)C=C2)C=C(Cl)C=C1,251,263.64395,231.89221,227.27895,251.00085,259.27173,209.05807,196.26065,241.18544,205.02788,217.54669,230.216642,22.1833595957293
CC1=C(NC(=O)C2=CC=CO2)C=C(C=C1)C(O)=O,231,214.72258,203.61218,167.66296,201.79054,193.55162,197.60646,184.06247,178.27687,201.83836,204.05035,194.717439,13.3889232910667
COC1=C(OC)C=C(C(O)=O)C(NC(=O)C2=CC=CO2)=C1,89,207.73967,194.50742,173.78236,214.55005,195.25632,181.01826,168.90024,205.7128,176.26202,189.40648,190.713562,14.7821334434423
OC(=O)CNC(=O)C1=C(Cl)C=CC=C1,183,141.01398,150.57655,156.96948,156.18315,150.7462,150.73944,158.41101,158.16708,127.71791,145.23593,149.576073,9.07648934531193
OC(=O)CCOC1=C(F)C=CC=C1,113,102.85621,117.68498,108.4718,86.3531,72.33777,91.652115,87.93041,74.139,96.73258,93.403984,93.1561949,13.4687972083238
CCC(=O)C1=CC=C(OCC(O)=O)C=C1,132,177.91902,153.90878,146.91597,143.6165,152.66911,139.10634,153.9946,137.99721,143.39871,144.91995,149.444619,10.9413426168203
OC(=O)C(CC1=CC=CC=C1)NC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,150,169.50046,175.4867,184.82573,218.72081,170.05711,186.6647,189.54315,205.17676,204.6292,186.21614,189.082076,15.3029935055029
OC(=O)C=CC1=CN(N=C1C1=CC2=C(OCCO2)C=C1)C1=CC=CC=C1,251,180.84914,189.07364,180.03381,142.7989,237.15279,201.99365,181.35083,188.51765,195.21295,208.91422,190.589758,22.8856905842025
CCC1=C(OCC(O)=O)C=CC=C1,125,94.53921,100.46416,101.34053,111.1196,107.80329,105.69234,102.39309,89.23438,100.39378,84.15133,99.713171,7.87978689247171
OC(=O)C(=CC1=CC2=C(OCO2)C=C1)C#N,206,225.16687,189.05356,216.52425,193.87154,180.1572,233.89552,227.27858,214.33307,220.26581,204.24966,210.479606,16.9898405247832
CC1=C(Cl)C=CC(OCC(O)=O)=C1,181,155.66002,136.07646,140.00247,134.23476,142.09024,147.53073,119.42337,143.24936,133.84671,123.12565,137.523977,10.2479519799266
OC(=O)CC12CC3CC(CC(Br)(C3)C1)C2,196,123.81617,117.30111,120.97556,137.37294,157.34969,123.69097,112.797554,125.96185,111.36366,127.69817,125.8327674,12.7054942572892
CSCCC(N1C(=O)C2=C(C=CC=C2)C1=O)C(O)=O,126,128.79515,142.67964,140.13908,167.5161,116.21024,124.52608,105.43981,143.90489,123.8409,123.02741,131.60793,16.5826745477013
CC(C)(C)C1=CC=C(OCCC(O)=O)C=C1,95,112.20685,108.27765,114.35967,85.52464,48.152447,94.820984,60.77039,98.89089,77.12314,62.72069,86.2847351,22.1821076442428
COC1=C(OCCC(O)=O)C=CC=C1,134,102.13486,119.04504,102.19748,103.0683,83.03606,110.80854,93.62829,102.352425,118.86209,103.34003,103.8473115,10.2526246874164
CC1=CC(OCCC(O)=O)=C(C)C=C1,118.5,104.32941,114.39381,117.316986,99.628136,67.47843,100.43142,80.26856,76.13017,123.889595,97.93244,98.1798957,17.5634243483312
CCOC1=C(OCCC(O)=O)C=CC=C1,98,110.60042,126.91382,96.50489,97.030754,77.292175,105.93683,99.04105,96.01991,98.495605,100.71807,100.8553524,11.9200224271543
OC(=O)COC1=C(CC2=CC=CC=C2)C=CC=C1,112.5,111.2192,121.10075,125.45994,115.03166,123.55964,126.30649,109.10519,124.27599,122.23357,133.73105,121.202348,7.08030675002122
OC(=O)C1CC1(Cl)Cl,75,95.57186,130.51079,106.129196,146.68214,123.709305,116.669525,115.31627,87.82406,102.78358,143.92853,116.9125256,18.6206354930373
OC(=O)C1CC2CCCC(C1)C2=O,130,158.76192,136.8552,117.71597,116.11556,108.82746,152.19221,140.98654,120.07579,159.59015,142.80978,135.393058,17.6824721435368
OC(=O)C1=CC(=CC=C1)N1C(=O)CCC1=O,238,204.47209,213.77737,227.85435,196.23174,222.86885,200.47534,192.12671,178.10518,233.63187,188.18872,205.773222,17.3256177074648
CC1=CC=C(C=C1)C12CC3CC(CC(C3)(C1)C(O)=O)C2,175,113.39497,159.02075,169.72003,198.62315,148.49673,113.32774,151.6424,130.55946,169.63416,114.40788,146.882727,27.3079921156309
OC(=O)C1=CC=C(CN2C(=O)C3=C(C=CC=C3)C2=O)C=C1,259,255.81215,280.21463,237.82736,259.4716,250.60315,250.52975,272.49017,249.03455,232.84387,240.93773,252.976496,14.0706639497041
OC(=O)C1=CC=C(NC(=O)CCl)C=C1,231,222.86763,246.44525,207.25673,217.15086,224.33913,216.93254,227.49254,234.19713,234.2578,218.14105,224.908066,10.6295180118754
OC(=O)CCCN1C(=O)C2=C(C=CC=C2)C1=O,97,109.06334,145.45908,146.92567,126.04323,106.10498,120.78641,139.83734,129.93579,125.02346,116.62463,126.580393,13.4864012083877
COC1=C(C=C(C=C1)C(=O)NCC(O)=O)[N+]([O-])=O,99,157.56206,156.1106,150.77753,172.91249,159.0757,163.85562,164.95348,158.16267,132.9869,149.69965,156.60967,10.1850460139452
OC(=O)CNC(=O)C1=CC=C(Br)C=C1,161,171.6988,187.2191,200.99876,165.6453,175.24112,164.4089,174.51524,164.45146,155.3765,170.27386,172.982904,12.304949716064
OC(=O)CNC(=O)C1=CC(Cl)=CC=C1,99,157.90369,137.48804,155.85991,160.91615,152.80043,153.40672,170.63037,149.6503,158.26328,167.61034,156.452923,8.83008867052427
COC1=CC(NC(=O)COC2=CC=C(C=C2)C(O)=O)=CC=C1,132.5,162.92387,177.84831,178.50877,192.98816,199.91411,214.7058,168.59373,184.64311,205.41226,177.93953,186.347765,15.7065372989238
OC(=O)C1CCN(CC1)C=CC(=O)C(F)(F)F,136,152.33334,121.39277,173.08675,177.75032,148.50993,144.2999,175.40674,115.116264,123.649765,124.61562,145.6161399,22.7387436584115
OC(=O)C1=C(OCC(=O)NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1,244,149.21074,141.16437,141.99953,141.62729,162.2097,181.32675,149.05432,145.80305,161.52966,137.26364,151.118905,12.8233391252117
OC(=O)C12CC3CC(C1)CC(C3)(C2)C1=CC=CC=C1,162,100.97635,132.7343,164.24817,177.94838,137.78955,100.7923,134.26407,111.547066,156.61331,94.75313,131.1666626,27.4431994147588
CC(C)CC(N1C(=O)C2=C(C=CC=C2)C1=O)C(O)=O,120,162.91774,145.58453,169.12097,134.4339,138.49911,161.23303,127.90348,138.76155,140.25975,140.79622,145.951028,12.972779297623
CC1=C(CCl)C=C(C=C1CCl)C(O)=O,158,224.35057,228.8514,187.00558,213.58282,223.85466,221.56259,247.21866,218.6907,240.70172,228.62918,223.444788,15.3990740509433
CC(C)C(NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(O)=O,130,155.91838,132.96591,118.817535,147.27396,127.59566,126.56675,151.56587,164.97205,135.8794,134.83002,139.6385535,13.9232706279976
OC(=O)CNC(=O)C1CCCCC1,155,106.79315,168.50433,169.31694,136.38806,120.2914,123.23692,101.74043,123.76927,117.09125,152.94376,132.007551,22.8865488758941
CCOC1=C(C=CC=C1)C(=O)NCC(O)=O,167,139.57274,130.95453,117.63672,147.43616,109.755066,156.53513,142.26498,133.52098,103.98381,140.72989,132.2390006,16.0251608495352
OC(=O)CNC(=O)C1=CC=CS1,170,134.46019,165.51447,143.68489,144.84111,140.74164,143.3485,157.55997,156.32693,119.66516,151.4372,145.758006,12.321302841144
OC(=O)C1=CC=C(COC2=CC=C(Cl)C=C2)C=C1,202,208.62822,186.99016,190.65169,200.95256,185.45502,191.01384,227.80609,208.11057,211.85492,215.95341,202.741648,13.3534713480734
OC(=O)CNC(=O)C1=CC(F)=CC=C1,154,153.06697,143.55579,155.4182,161.49074,135.1209,139.52136,160.51471,144.78708,136.76913,145.89261,147.613749,9.03457776590412
OC(=O)C1=CC=C(NC(=O)CC#N)C=C1,196,226.48738,244.42346,194.82523,235.39804,216.35307,214.00311,209.40034,203.72794,242.46378,228.05368,221.513603,15.7557257144868
CCOC1=C(OCC)C=C(C=C1)C(=O)NCC(O)=O,120.5,162.29459,153.08952,153.70671,164.17674,123.170685,160.43762,150.38075,164.47057,145.9708,147.9682,152.5666185,11.6970402799418
OC(=O)C1=COCCO1,165,92.59872,75.02574,114.21689,86.85307,73.33489,68.44071,65.70459,91.19478,112.53479,65.8492,84.575338,17.1999255337265
OC(=O)CNC(=O)C1=CC=C(OC2=CC=CC=C2)C=C1,157,138.50545,140.08514,155.58388,162.27748,139.90994,165.28151,159.18979,158.318,129.58945,161.93837,151.067901,12.0375732045794
OC(=O)CNC(=O)C1=CC=C(Cl)C=C1,215,179.08525,166.95816,184.82071,167.2271,167.47826,161.53494,178.97702,174.512,161.2208,172.45804,171.427228,7.48895812924308
CC(NC(=O)C1=CC=C(Cl)C=C1)C(O)=O,159,172.45012,167.35025,171.109,188.60954,186.9606,187.02216,143.15646,175.86884,177.53119,165.3447,173.540286,12.8298804377883
OC(=O)CCCNC(=O)C1=CC=C(Cl)C=C1,109,152.32693,175.93634,171.61256,147.509,147.98732,152.6177,161.99533,144.825,139.32507,170.88153,156.501678,12.084131019417
OC(=O)CN1C(=O)C2CCCCC2C1=O,89,156.78268,166.42413,172.67238,168.30426,161.73938,158.62704,158.05304,149.1014,164.87833,150.63445,160.721709,7.1760304624736
CC1=C(C=CC(=C1)C(=O)NCC(O)=O)[N+]([O-])=O,217,143.0599,149.71451,170.48994,148.84938,170.97612,148.62216,153.99876,165.29054,143.11237,147.49684,154.161052,10.2061575924672
OC(=O)CNC(=O)C1=CC=C(F)C=C1,170,185.63469,164.82547,173.73965,158.56667,158.40523,171.17133,181.34308,165.27437,149.37634,181.34177,168.96786,11.1626655686086
OC(=O)CCN1C(=O)C2CCCCC2C1=O,82,128.84795,153.36293,132.61147,129.27136,135.4668,112.87175,146.81357,123.001884,134.43527,125.94845,132.2631434,10.9284286156818
CC(C)CC(N1C(=O)C2CC=CCC2C1=O)C(O)=O,136,140.18825,116.80397,124.89084,108.587265,125.88869,120.219475,118.29924,83.59676,124.84429,99.79528,116.311406,14.9345397889935
CC(C)C(NC(=O)C1=CC=C(Cl)C=C1)C(O)=O,198,168.09007,150.04953,142.98329,156.13826,156.66875,150.46051,135.25003,140.49338,154.939,163.3536,151.842642,9.67236441767864
OC(=O)C1=CC2=C(C=C1)C(=O)N(CCC1=CC=CC=C1)C2=O,216,202.09879,207.52213,193.16974,206.14485,225.3777,198.92967,211.83392,211.94646,195.8606,213.79994,206.66838,9.14457152198833
OCCNC1=C(C=CC=C1)C(O)=O,143,122.1591,113.26315,113.54849,124.74489,117.04717,139.21704,106.43473,120.5283,132.3115,107.61646,119.687083,9.9017080862385
COC1=C(Cl)C=C(NC(=O)COC2=C(C=CC=C2)C(O)=O)C=C1,230,146.64291,153.63403,177.57446,169.97696,171.16278,180.99771,172.92854,164.08723,200.97916,153.844,169.182778,15.0021886834954
OC(=O)C1=C(OCC(=O)NC2=C(F)C=CC=C2)C=CC=C1,198,154.83806,155.6619,143.89986,191.0883,183.51009,172.67368,165.53532,145.24751,178.17241,151.53363,164.216076,15.674650886522
OC(=O)C1=C(OCC(=O)NC2=CC=C(Br)C=C2)C=CC=C1,242,182.17314,169.95816,177.37035,172.1014,185.8795,186.58397,205.55902,178.14133,207.6985,171.43701,183.690238,12.7037494579024
CCOC1=CC=C(C=C1)C(=O)NCC(O)=O,155,154.49751,142.09702,159.00804,144.89906,129.25883,164.62576,153.50903,136.5323,127.004715,158.85344,147.0285705,12.435927328966
COC1=C(OCC(=O)N2CCOCC2)C=CC(=C1)C(O)=O,163,169.64581,169.91693,172.34889,167.55914,168.7134,153.53094,155.83752,160.26518,180.07129,144.6647,164.25538,9.96562586538949
COC1=C(NC(=O)COC2=C(OC)C=C(C=C2)C(O)=O)C=CC=C1,185,198.3408,238.01053,190.12592,193.8326,217.72426,221.66443,175.62799,192.7318,217.31363,187.84854,203.32205,18.3042774740316
OC(=O)CNC(=O)C12CC3CC(CC(C3)C1)C2,146,172.77522,153.46185,187.88776,172.52667,192.56995,171.56223,176.35373,172.62141,198.33925,153.92856,175.202663,13.9906411674884
CC(C)C(NC(=O)C1=CC=C(C)C=C1)C(O)=O,156,163.55084,143.34583,140.43839,164.49821,139.46294,144.69931,137.82715,138.00575,152.3529,160.3401,148.452142,10.2429885420895
CCOC1=CC=C(OCCCC(O)=O)C=C1,105,150.04645,128.51566,105.69995,116.42474,95.45615,129.27783,114.37005,130.67345,90.80054,116.65137,117.791619,16.8574299105809
OC(=O)CCCSC1=NC2=C(S1)C=CC=C2,104,95.209404,110.95887,85.262085,96.20049,101.203476,99.95151,86.04226,82.57165,74.847404,107.43827,93.9685419,10.9494371083804
OC(=O)C1CCCN(C1)C(=O)C1=CC=C(Cl)C=C1,148.5,131.0028,158.18396,143.38847,139.1707,120.41996,142.65204,142.05748,126.53592,137.58156,148.5408,138.953369,10.3321884684925
CC(C)C(NC(=O)C1=C(F)C=CC=C1)C(O)=O,117,140.2028,116.01716,153.49828,160.59763,129.88387,138.03659,152.41626,127.38503,113.93051,145.77347,137.77416,15.0485326195593
OC(=O)CCCSC1=CC=C(Cl)C=C1,107,111.94772,116.91011,98.58086,97.601685,69.8636,96.99103,76.63055,99.44117,75.318535,94.27837,93.756363,14.6705399723632
OC(=O)CC1=C(N=C(S1)C1=CC=CC=C1)C1=CC=CS1,118,156.36566,147.59758,157.58647,155.70027,163.81154,168.82347,144.10318,146.81949,157.4643,143.88965,154.216161,8.01001036231595
COC1=CC=C(C=C(CC(O)=O)C2=NC3=C(S2)C=CC=C3)C=C1,155,182.40407,151.12775,139.84505,111.37727,163.14668,173.31956,179.15211,177.90475,184.52174,160.3246,162.312358,21.8487936074268
COC1=CC(C=C(CC(O)=O)C2=NC3=C(S2)C=CC=C3)=CC=C1,154,172.25865,150.70135,127.11415,121.852554,151.32835,146.29483,162.4819,172.98543,149.4957,150.4515,150.4964414,15.8416996772454
OC(=O)CCCN1C(=O)C2=CC=CC3=CC=CC(C1=O)=C23,87,176.42488,191.1452,206.65234,216.63641,183.04173,169.08377,177.47217,222.99774,180.88033,217.71185,194.204642,18.9167189742042
CC(=O)OC1=C(OC(C)=O)C=C(C=C1)C(O)=O,160,200.82118,191.7582,160.40907,205.26686,180.58452,184.78589,175.52872,189.5696,193.94264,181.06107,186.372775,12.3215746549946
CC(=O)OC1=CC(=CC(OC(C)=O)=C1OC(C)=O)C(O)=O,164,210.99211,188.52365,167.02452,197.8957,181.64339,223.61403,197.9035,214.28275,181.51477,201.87053,196.526495,16.3458664359649
COC1=CC=C(C=C1)C(=O)NC(C(C)C)C(O)=O,164,153.10556,142.00235,143.68468,138.33374,133.47583,138.22607,125.09574,147.56862,140.71771,145.77734,140.798764,7.38080971204813
CCOC1=C(C=CC=C1)C(=O)NC(C(C)C)C(O)=O,128,152.70038,129.40254,140.18256,147.12276,115.237274,147.92062,137.55957,115.82096,99.07222,128.93279,131.3951674,16.2727324533449
CC(C)OC1=CC=C(C=C1)C(=O)NCC(O)=O,155,136.01686,120.988335,126.2994,151.46072,133.23242,159.53467,146.17749,135.80132,118.88158,132.01575,136.0408545,12.3795989497852
CC1=C2C=CC=CC2=NC(SCC(O)=O)=C1,118,143.04926,161.33821,159.16298,141.02342,156.84203,161.15012,155.64127,124.67684,139.4435,180.69897,152.30266,14.7867370106363
OC(=O)C1=CC=C(C=C1)N1C(=O)CSC1=S,282,235.64832,193.06004,194.937,197.10681,216.94229,201.49545,256.95575,212.06203,209.28532,225.89569,214.33887,19.3196011015745
OC(=O)C1=CC(=CC=C1)N1C(=O)CSC1=S,261,219.35625,198.46451,204.48636,208.83191,190.7237,196.22188,257.8623,182.11421,205.66702,213.124,207.685214,19.6396352587344
OC(=O)C(=CC1=CC=C(Cl)C=C1)C1=CC=C(F)C=C1,205,224.03487,201.81108,205.98235,218.61836,193.61847,199.39667,205.4736,215.99931,195.63315,187.2973,204.786516,11.1433100512875
CC(NC(N)=O)C(O)=O,172,169.73271,165.78587,174.24957,162.7641,187.37155,178.39043,171.66235,147.01894,154.08806,149.11671,166.018029,12.3371419954894
CC(=O)C1=CC=C(OCCCC(O)=O)C=C1,137,137.18582,130.78104,91.724045,109.58531,98.42408,143.54141,108.472885,129.88037,82.47543,110.89996,114.297035,19.32733560396
OC(=O)C1=CC(=CC=C1)S(=O)(=O)N1CCCC1,158,155.68369,152.15836,156.14348,176.16933,152.6027,166.56085,107.19558,135.8801,153.35097,154.38808,151.013314,17.5851669597568
CCN(CC)S(=O)(=O)C1=CC(=CC=C1)C(O)=O,165,117.1636,130.63661,136.82741,174.04057,139.60825,122.0074,154.8736,122.55988,141.62762,138.07866,137.74236,16.0705947819177
OC(=O)C1=CC(=CC=C1)S(=O)(=O)N1CCCCC1,179,146.67256,130.42572,149.59854,165.04985,145.57497,148.4196,111.04623,128.15982,157.25809,141.78973,142.399511,14.7640297258644
OC(=O)C1=CC(=CC=C1)S(=O)(=O)N1CCOCC1,199,158.74509,130.8165,137.0138,193.67665,145.28209,161.13509,157.11642,135.3546,169.17935,153.48767,154.180726,17.7126539667376
OC(=O)C1=CC=C(NS(=O)(=O)C2=CC=CS2)C=C1,227,185.88507,178.35187,157.4662,201.9388,157.58559,225.30002,160.2449,161.00516,205.63895,190.02458,182.344114,22.4385789131015
OC(=O)C1=CC(=CC=C1)S(=O)(=O)NCC1=CC=CC=C1,226,190.97159,176.03908,179.04448,166.32013,172.53036,170.77475,147.22101,145.06087,184.77081,165.38672,169.81198,13.9949038979959
OC(=O)C1=C(O)C=CC(NS(=O)(=O)C2=CC=CS2)=C1,210,171.14163,152.2462,168.67369,174.54752,154.37828,198.08311,138.29498,160.51387,202.71808,177.04779,169.764515,18.9378549455567
CC1CN(CC(C)O1)S(=O)(=O)C1=CC(=CC=C1)C(O)=O,189,157.4612,111.478096,131.40556,168.06705,108.24226,160.21893,132.7601,114.12882,136.46341,109.38941,132.9614836,21.3850837093095
