SMILES,MP exp,GNN1,GNN2,GNN3,GNN4,GNN5,GNN6,GNN7,GNN8,GNN9,GNN10,consensus GNN,SD
CCC1=CC(CC)=CC=C1,-83.95,-75.89383,-87.00369,-76.71916,-72.89434,-64.189545,-70.08099,-88.81725,-79.45113,-86.87142,-39.804657,-74.1726012,13.6998732377871
CC(C)=CCCC(C)=O,-67.05,-44.66876,-29.330872,-23.3302,-33.966095,-16.414589,-50.4276,-34.771717,-64.17158,-40.031643,-42.7704,-37.9883456,13.0143502089788
CCC(C)(C)C(C)C,-101,-58.842716,-64.80972,-36.725533,-65.2646,-64.62619,-72.527405,-69.72809,-46.037655,-58.44472,-69.57788,-60.6584509,10.7313977105598
CCCC(C)(C)CC,-126,-67.907616,-96.33948,-52.828957,-81.36399,-106.46652,-93.942245,-107.64689,-78.48682,-77.21131,-70.38703,-83.2580858,16.7596786191505
CCCCC(C)(C)C,-121,-80.035866,-107.322395,-101.48251,-66.25711,-87.897644,-84.143745,-121.28932,-85.08718,-64.44016,-86.10236,-88.405829,16.6729672607234
CC(=C)C(C)(C)C,-110,-35.214577,-35.054253,-58.59304,-29.924196,-67.21854,-43.165195,-41.694,-55.836697,-66.70563,-63.640614,-49.7046742,13.5254719957081
CCC(CC)C(C)C,-115,-95.707146,-112.369316,-74.86221,-143.20259,-88.05776,-100.567764,-103.129234,-80.9177,-93.5135,-83.240524,-97.5567744,18.5739812053826
CCCCSCC,-95.05,-79.19422,-81.041,-105.99782,-88.62326,-65.115265,-83.08561,-69.32966,-72.03974,-81.92988,-87.330536,-81.3686991,10.949914441959
CCC1=CC=C(C)C(C)=C1,-66.95,-45.352394,-47.485687,-64.66109,-35.07598,-42.22298,-35.05475,-35.405735,-54.00155,-28.306759,-29.627995,-41.719492,10.8553701949809
CCC(C)(CC)CC,-90.95,6.682478,-53.382244,-33.740128,-29.462233,-65.9135,-19.146845,-30.092407,-47.813465,-19.242884,-32.0183,-32.4129528,19.2173761865135
CC(C)CC(C)C(C)C,-128,-124.65401,-122.287,-105.88896,-151.18175,-87.75294,-104.95861,-175.44276,-107.090866,-111.964516,-94.148636,-118.5370048,25.3306796278149
CC(C)CCCC(C)C,-103,-74.40727,-83.09327,-107.64538,-121.43069,-109.38316,-111.51302,-109.92854,-79.06989,-117.46151,-65.054214,-97.8986944,19.2295289282083
CC1=C(C)CCCC1,-84.05,-37.823086,-44.22072,-51.3603,-24.640175,-83.625015,-30.721281,-101.76756,-42.580883,-51.728256,-46.543377,-51.5010653,22.4861864229218
CCCC1CCCCC1,-94.95,-53.196804,-55.854317,-75.29152,-73.112045,-50.852634,-62.31813,-73.34423,-78.61742,-71.061745,-73.13039,-66.6779235,9.65284427413024
ClC(Cl)=C(Cl)C(Cl)(Cl)Cl,-72.95,-70.17689,-61.259872,-101.899185,-69.90989,-30.623552,-62.048588,-45.21889,-51.213276,-42.589657,-82.5907,-61.75305,19.7597875981049
CCC1=CC(CC)=CC(C)=C1,-74.05,-22.350569,-52.82284,-59.0492,-33.9203,-23.816677,-19.526299,-56.561752,-47.272915,-35.892555,30.819902,-32.0393205,25.0651693662466
CC(C)CC(C)=C,-124,-95.22443,-102.80076,-100.3802,-111.22956,-74.31236,-100.65292,-91.44527,-106.06486,-98.594536,-116.36978,-99.7074676,10.9372494484573
CCCC(C)=C(C)C,-115,-96.87663,-156.08379,-90.6525,-159.57648,-117.66861,-125.22177,-150.21138,-108.11262,-122.760994,-120.797485,-124.7962259,22.6478794895905
CC(C)C(C)(C)C(C)C,-102,-17.11112,-19.82559,-26.56686,-22.933441,-24.61025,-22.76288,-50.05025,-41.281498,-24.93223,-0.117596194,-25.0191715194,12.6989307127497
CCC1=CCCCC1,-110,-62.136353,-50.32057,-113.29791,-90.15767,-80.7194,-72.44054,-84.63013,-97.87826,-71.63968,-81.87789,-80.5098403,16.9748720931796
ClCC1CC1,-90.95,-17.267122,-27.844967,-39.060097,-14.660282,-23.5881,-28.2193,-15.967183,-3.2959638,-9.647076,-68.45378,-24.80038708,17.495846587831
CCC1CCCC1C,-106,-86.899506,-89.24151,-123.80478,-107.29014,-103.336975,-78.89884,-102.12985,-68.30603,-58.309494,-86.471756,-90.4688881,18.3992141919923
CC(C)C1CC1,-113,-18.158768,-50.122948,-28.392626,-58.05092,-14.033553,-22.13555,-75.28811,-30.566332,-76.76374,-52.74546,-42.6258007,21.9380744703391
CC#CCC(C)C,-92.95,-76.384094,-47.390182,-71.42912,-121.20221,-78.99985,-78.36854,-42.20008,-67.87453,-56.951042,-72.43614,-71.3235788,20.6464128364254
CCC1CCC1,-142.9,-76.56565,-71.83065,-110.25567,-114.84018,-78.48071,-82.14748,-81.67013,-64.440575,-91.89895,-84.08763,-85.6217625,15.1717938820156
CCCC=CC,-141.1,-126.05762,-132.82544,-147.85303,-111.54412,-166.22423,-138.94151,-131.33896,-112.6701,-122.279396,-122.40071,-131.2135116,15.7472860413262
COCCOC(C)=O,-65.05,-51.472004,-66.810295,-77.10574,-80.75535,-47.09205,-66.54749,-47.199585,-48.13193,-40.358852,-70.48209,-59.5955386,13.6040334159321
CCC1=CC=CN=C1,-76.95,-62.29274,-39.71661,-20.62311,-53.80007,-63.434002,-35.870655,-38.649784,-53.90792,-40.304035,-28.497824,-43.709675,13.4877174884216
C1CCSC1,-96.05,8.258789,10.516217,9.537638,24.27259,-12.972529,22.3644,-6.3769336,36.54186,7.1625457,7.379629,10.66842061,13.6782977451235
ClCBr,-87.95,-27.008867,12.45509,-74.589676,-51.23912,-62.287327,-73.26383,-44.901672,-73.673485,-27.353033,-78.966385,-50.0828305,27.6873564006313
CC1CO1,-112,-49.823677,-47.101425,-33.44107,-27.572271,-25.51302,-81.58249,-30.989378,-25.526178,4.5587287,-56.13591,-37.31266903,21.789199598364
CC(=C)C=C,-145.9,-88.99121,-116.311195,-69.5444,-74.10487,-101.24788,-87.96167,-83.52923,-109.20567,-124.35096,-56.443954,-91.1691039,20.4892904310518
CCC(C)OC(C)=O,-98.95,-85.614624,-80.76949,-52.91728,-61.22949,-74.55424,-63.92625,-96.88354,-90.02708,-68.62806,-77.13681,-75.1686864,13.0216851766671
CCCCCCC(=O)OCC,-66.05,-45.833843,-45.809418,-28.293678,-47.268578,-47.37711,-37.541348,-50.868774,-43.72427,-42.337017,-53.832733,-44.2886769,6.80440353479982
CCCC#N,-112,-73.97775,-103.774345,-93.31326,-57.05278,-95.2045,-70.270546,-72.20144,-63.879093,-76.39252,-84.97454,-79.1040774,14.0768541793683
CCSCC,-104,-81.38577,-140.82751,-156.67941,-151.9539,-132.87474,-109.36202,-95.97048,-78.49494,-79.71381,-160.38487,-118.764745,31.794566266134
CCSC,-106,-102.68138,-134.91595,-128.49365,-136.06775,-99.92762,-77.71157,-108.57145,-135.15846,-108.999245,-124.86836,-115.7395435,18.3508580253649
CCCCC#C,-131.9,-88.44438,-93.76412,-96.77789,-89.53577,-110.45303,-83.40776,-94.64885,-66.74578,-83.38285,-80.44709,-88.760752,10.9844703166277
CCCCC#CCC,-104,-86.71112,-71.68574,-101.41312,-89.40308,-82.29739,-62.13213,-64.40005,-58.904324,-62.90542,-59.544838,-73.9397212,14.2035170438755
CCC1=CN=C(C)C=C1,-70.95,-36.035065,-53.47889,-16.415304,-19.861547,-44.558468,-7.712429,-47.04707,-16.229082,-31.181051,8.361022,-26.4157884,18.4619479795063
CCC1=CC=CC=C1Br,-67.95,-35.200157,-20.48068,-41.597694,-43.337173,-24.547504,-20.474033,-40.28359,-29.505934,-38.836643,-18.048233,-31.2311641,9.28595285241437
OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1,186.1,190.6588,174.20111,187.22043,204.02184,183.58517,166.19347,176.3982,194.25613,181.4915,167.07927,182.510592,11.4115887741697
CCC1=CC=CC=C1,-94.95,-86.46049,-100.05874,-78.860695,-75.13773,-71.31911,-77.256996,-88.76025,-85.77081,-63.621662,-89.107,-81.6353483,9.93177013999748
CCCCCl,-123,-73.67482,-89.5703,-106.49803,-75.15085,-98.33725,-107.68161,-78.152245,-74.34079,-99.28968,-76.619644,-87.9315219,13.227447541124
C1CC=CC1,-135.1,-30.298042,-67.40177,-68.6176,-72.798065,-107.28604,-49.264606,-46.770836,-57.38569,-33.138165,-56.31201,-58.9272824,21.0517502481778
CCCCC1=CC=CC=C1,-87.95,-66.53157,-85.58215,-62.46701,-51.48825,-60.795086,-63.66873,-73.0871,-54.577877,-62.974163,-42.95474,-62.4126676,11.0976757117186
COCCO,-85.05,-58.463036,-55.503075,-98.67054,-82.71802,-60.41844,-91.83185,-65.793564,-55.208977,-63.077007,-76.14993,-70.7834439,14.8712014602322
CC1=CC(=O)CC(C)(C)C1,-8.05,57.18766,9.234609,23.397884,9.656721,37.94406,20.07707,-23.263508,22.155943,21.433805,25.955618,20.3779862,19.6260429695536
BrCCBr,9.95,-42.49638,-16.932232,-8.070584,-28.489084,-15.529875,-4.2473507,8.43633,-28.924206,-3.3823833,-12.330733,-15.1966498,14.1085407842806
CCCCCCCCCCCCCCC=C,4.05,7.9943156,11.708246,16.094555,4.00944,-3.1202633,8.020624,10.107523,4.05688,0.25312418,6.086578,6.521102248,5.29765913704397
CCCCCCCCCCCCCCC,9.95,20.61056,27.6288,28.19153,18.6227,8.429784,15.440683,10.335408,17.217424,17.779234,13.067156,17.7323279,6.20440641418495
CC(C)OC(=O)\C=C\C(=O)OC(C)C,2.05,-9.07008,-23.4139,-19.831512,8.772521,-25.74186,-2.3175454,0.3298672,-52.935215,-29.544083,-7.42047,-16.11722772,17.0330536054841
CCC1=CC=CC=N1,-63.05,-25.928501,-30.57031,-33.51999,-47.89759,-30.382423,-21.28019,-45.733982,-45.914967,-51.987114,-73.60451,-40.6819577,14.7322312781498
ClCCCBr,-58.95,-45.93378,-34.108982,-70.22865,-50.733154,-51.380203,-56.590626,-47.79887,-50.88071,-48.2327,-12.576352,-46.8464027,14.2616876566599
COC(=O)C(Cl)Cl,-51.95,-44.39622,-32.21248,-35.163944,-20.703873,-46.524307,-31.799547,-24.592705,-47.920715,-41.906414,-26.325232,-35.1545437,9.17325392692744
CC(C1=CC=CC=C1)C1=CC=CC=C1,-17.95,22.09539,23.063478,20.595879,35.838745,21.755722,-12.435513,4.171767,2.234414,-1.3457928,-5.909814,11.00642752,14.8472502944194
CCC1=CC=C(C)C=C1C,-62.95,-52.09499,-43.235558,-38.28596,-54.95623,-60.798714,-21.661684,-59.32788,-62.26324,-37.836002,-51.59548,-48.2055738,12.1955202261714
CCC(CC)(CC)CC,-33.05,53.625698,21.186934,34.724594,39.710686,-25.428753,37.18189,29.85737,21.646582,78.97804,56.92771,34.8410751,26.1453226694891
ClC1=CC=CC=C1C=C,-63.05,-24.287363,-30.619514,-30.57769,-23.440002,-8.989374,-18.461454,-25.361143,-42.627174,-23.41393,-2.921758,-23.0699402,10.6220737350316
CCCCCCCCCS,-20.05,-24.4228,-20.426992,-26.300596,-21.557018,-27.863369,-23.651705,-16.917555,-15.143093,-25.991026,-32.210106,-23.448426,4.85990219579176
CCCCCCCCC(C)C,-48.95,-39.836582,-39.082115,-34.329494,-50.71479,-44.84248,-54.085667,-46.623478,-35.64828,-39.28132,-38.84967,-42.3293876,6.16500957547691
ClS(Cl)(=O)=O,-54.05,-35.190563,-14.396931,-80.71011,-85.605385,-28.40214,-11.629856,-21.44499,3.145412,-138.57162,2.0057077,-41.08004753,43.6235958464314
NCC1=CN=CC=C1,-21.05,-8.808924,9.226578,9.403687,-26.507519,-25.07309,22.322289,-8.396109,-6.1220484,-22.953615,-1.4646997,-5.83734511,15.4174937493214
COC(=O)CCl,-32.05,-24.962051,-3.1741378,1.0250355,-27.265446,-22.94785,-26.885271,1.4380571,-28.496887,6.9957657,-28.045889,-15.23186735,13.9878925338465
CC(=O)OCCC1=CC=CC=C1,-31.05,-9.630865,-22.846863,3.146093,-1.606604,11.715071,-7.4553037,7.1354628,8.052115,22.426298,-21.354021,-1.04186169,13.7253994890731
CC(C)C1=CC(=CC=C1)C(C)C,-63.05,-27.941164,-21.92903,-36.934,-32.632164,1.0652382,-62.358257,-33.86272,-40.054325,-5.1111994,-22.239443,-28.19970642,17.0287167859426
CC1=CC=CN=C1,-18.05,-35.507587,-33.87142,-11.116322,-45.15075,-23.983202,-23.347105,-21.324415,-55.801712,-38.184967,-37.832947,-32.6120427,12.3005609134536
CCCCCCCCCCCCCCCC,18.05,25.49001,32.13896,34.185482,23.497646,13.179906,19.922302,15.248532,22.363874,21.710962,18.270666,22.600834,6.35542812467988
C1CC[C@H]2CCCC[C@H]2C1,-42.95,-22.991894,-19.833559,-13.497938,-16.43736,-47.888523,-37.28157,15.303148,-26.58972,-60.673058,-24.053988,-25.3944462,19.5188097978295
COC(=O)CC(=O)OC,-61.95,-62.286392,-4.2134395,-37.588303,-23.723856,-99.97762,-51.42787,-43.21404,-40.38116,-21.404936,-11.553331,-39.57709475,26.3432679640354
CCC1=CC=C2C=CC=CC2=C1,-7.4,18.418533,17.510122,20.601498,-7.5580864,28.423882,16.456728,3.5538683,-9.9019,25.85341,24.263222,13.76212769,12.961299522082
CC1CC1,-177.2,-35.485126,-39.12975,-53.31172,-21.132181,-31.282818,-42.74853,-42.635082,-44.009064,-63.662403,-43.286972,-41.6683646,10.9716768647105
[O-][N+](=O)C1=CC(=CC=C1)S(Cl)(=O)=O,60.92,72.14287,37.507294,45.285164,51.417793,29.870407,77.47135,33.987003,38.60057,40.442097,64.80977,49.1534318,15.8756697275735
CCC1=CC=C(CC)C=C1,-42.91,-41.924664,-69.581505,-56.68206,-28.97609,-43.252872,-40.342587,-69.604744,-37.70991,-32.54804,-22.892666,-44.3515138,15.2637062001254
CC(F)(F)Cl,-130.9,-92.36704,-154.28062,-86.933014,-160.17212,-134.81949,-141.93224,-181.4783,-151.82484,-166.11273,-139.88147,-140.9801864,28.7384462439852
O=C=S,-138.9,-40.866364,1.584101,-73.52993,-106.69286,-61.88886,-80.784,-73.98211,-111.75794,-117.47247,-50.424713,-71.5815146,34.4751534141208
CC1CC=CC1,-160.9,-39.277927,-61.733116,-68.59986,-20.677238,-49.45382,-92.97202,-28.958143,-48.269226,-64.64408,-37.569466,-51.2154896,20.261414730541
CCC1(C)CCCC1,-143.9,4.695061,1.0686591,-12.824414,-22.661945,-17.622543,3.938682,-35.413162,-7.1928263,-13.606907,9.885119,-8.97342762,13.4564128564539
CCC1CC1,-149.1,-63.769375,-62.664955,-68.881744,-77.07195,-58.5133,-34.21224,-59.819805,-46.783817,-64.46189,-75.595665,-61.1774741,12.1771696586868
CCC1(C)CC1,-130.1,8.257849,-25.956833,-15.803131,-20.184536,-19.73003,-10.378469,-20.85318,-22.811117,-25.375105,-11.728047,-16.4562599,9.61587599312643
CC1CC1(C)C,-138.1,-18.97732,-36.010456,-24.87114,-28.098217,-48.859615,-46.52931,-23.852345,-21.694986,-37.794277,-16.900316,-30.3587982,10.7437527853256
CC=CC=C,-140.9,-63.598244,-100.16277,-76.85104,-120.89885,-93.31064,-86.698395,-97.74578,-101.545364,-124.46997,-152.4164,-101.7697453,24.1698964444187
CNC1=NC2=CC=C(Cl)C=C2C(C2=CC=CC=C2)=[N+]([O-])C1,236.1,253.4152,243.90321,250.98465,210.21193,236.35414,209.80011,220.78021,212.06871,230.26201,245.30305,231.308322,16.2652247237386
CCS,-147.9,-79.268585,-78.85849,-115.49623,-246.02055,-90.498566,-91.521454,-117.930405,-93.6667,-121.865875,-107.739845,-114.28667,46.3245016977332
CC=C,-185.1,-116.98764,-151.6542,-115.2092,-172.34187,-88.58981,-104.301254,-112.822044,-84.143906,-90.10993,-85.95245,-112.2112304,27.9104310751705
ClC1=C(Cl)C(Cl)=C(C(Cl)=C1Cl)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,305.9,237.16724,252.43959,257.7825,256.18042,296.20575,214.88849,251.43427,320.451,273.6688,264.66873,262.488679,27.9612212301074
CN1CCN(C)C1=O,8.1,75.3745,71.70557,82.91025,80.14909,129.12022,92.70989,73.58358,70.25153,164.78732,-3.076868,83.7515082,40.9379317058257
CCCCCCCCCCCCCCCCCCBr,28.1,21.861506,31.484627,42.501038,27.887888,21.345753,24.996254,34.045704,32.236797,27.755827,16.546965,28.0662359,7.06474800796298
CC1=CC=CC(I)=C1,-27.1,-24.189493,-17.813446,-34.743465,-49.483383,-2.3199403,-22.949965,-13.888321,-37.38564,-37.482086,-15.82259,-25.60783293,13.3359236265805
O=CN1CCCCC1,-30.9,43.49249,55.355988,61.408714,17.862597,23.265648,-18.525236,34.769615,42.97148,16.470139,-5.9602604,27.11111746,24.3774421757998
CCC1=C(C)C=CC=C1C,-16.1,-44.35541,-26.04662,-16.899757,-22.959215,-38.01933,9.0095005,-2.0047667,-0.04049371,-33.046215,-27.898726,-20.226103291,16.6392792115688
CC1=CC=CC(C)=C1I,11.1,6.8274045,18.796686,12.884945,31.552126,53.77326,39.64171,28.595205,26.175734,22.469122,27.230759,26.79469515,12.6261220455737
CCC(C)(C)C(C)(C)C,-9.9,-18.716719,-54.985634,-43.109077,-25.12065,-63.638905,-28.430315,-9.009744,-35.0452,-45.734005,-30.990396,-35.4780645,15.7980470762065
OCC(F)F,-28.1,-50.802605,-60.96854,-51.36461,-55.555992,-58.760567,-62.959343,-49.41475,-72.35787,-66.59561,-47.20485,-57.5984737,7.77465327088617
[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,13.9,28.20038,110.59825,127.66339,105.90333,91.98221,89.4314,49.15607,101.109955,88.501495,109.35685,90.190333,28.4383699596646
CC1=CC(N)=CC(C)=C1,9.9,44.67031,48.5083,61.27528,57.73249,68.47876,27.6017,57.93655,39.452297,51.30189,68.37834,52.5335917,12.2890716218741
CC1=C(F)C(F)=C(F)C(F)=C1F,-29.9,-24.367884,-17.763264,10.677774,-31.397106,-15.482169,-20.578417,10.549418,6.5293636,-7.5437074,-7.355957,-9.67319488,14.1475181093
CC1=CC=CC=C1C,-25.1,-45.254288,-48.818104,-37.45533,-71.29257,-31.58604,-11.837173,-61.36003,-14.89346,-17.507769,-39.694187,-37.9698951,18.7253205071098
CC(=C)C1=CC=CC=C1,-23.1,-47.347557,-33.927597,-13.015545,-32.976204,-40.94266,-41.56161,-28.612059,-23.5512,-17.555449,-26.540596,-30.6030477,10.3625139306471
CCC1=CC=CC=C1CC,-31.1,-84.613174,-43.871643,-37.98533,-40.127625,-55.731037,-40.667793,-56.326916,-80.34891,-50.829193,-64.53378,-55.5035401,15.708260628934
CCCCCCCCCCCCCCCCCC,28.1,34.957363,41.16333,45.356297,33.142426,22.45951,28.384502,23.964167,31.238132,28.641329,27.706308,31.7013364,6.85915965566648
C1COCCO1,11.9,-1.8102741,-8.888134,16.413395,21.108221,-21.27446,-0.48989064,-13.247242,9.2118845,-18.617746,-11.563498,-2.915774424,13.8048577410584
OC(=O)C(F)(F)F,-15.1,23.48441,-5.593315,27.605616,29.236378,2.3872473,-10.947796,0.54170597,26.556293,-1.4537821,-2.6004353,8.921632187,14.9787929639442
N#CCC1=CC=CC=C1,-23.9,-19.205126,-1.5790174,-3.3334374,-9.153016,10.542593,3.6436086,-12.3188715,-4.4927406,8.048561,21.59456,-0.62528863,11.3568289077702
CC1=CC=C(Cl)C(Cl)=C1,-15.1,-14.183005,-4.8878956,-1.0666801,-5.1472664,-13.008507,13.398921,-2.9066303,-4.844963,-4.417845,-1.5414321,-3.86053035,7.11485936678014
ClC1=CC(Cl)=CC=C1,-24.9,-26.202734,-26.512993,-31.272831,-23.282587,-15.040723,-38.871166,14.044423,-19.953594,-8.691131,-14.227293,-19.0010629,13.8192663315077
OCC1=CC=CC=C1,-15.1,9.494209,-6.433653,26.172434,-2.264706,-1.7312317,11.019474,3.5543134,-12.731247,6.4930425,-3.9058065,2.96668287,10.4412820447386
C1C=CC2=CC=CC=C12,-1.9,23.047083,20.168036,33.45439,49.882515,35.29986,42.912563,42.47542,37.932198,35.772938,33.632565,35.4577568,8.4515543019689
OC1=CC=CC(=C1)C(F)(F)F,-1.9,34.532978,22.372229,38.5429,30.461142,34.123066,10.604115,29.499851,23.272161,27.802992,41.78222,29.2993654,8.5403584877339
CN(C)C(=O)N(C)C,-1.1,46.9185,37.031616,51.168537,36.191166,41.301353,8.636541,36.91364,64.97729,65.77349,-7.209123,38.170301,21.619822366878
CC(Br)C(C)(Br)Br,1.9,21.687431,36.541424,38.621853,30.481323,-22.15796,49.241062,22.505148,13.959784,19.403273,21.021635,23.1304973,18.1977763315251
CC1=CC=CC=C1C1=CC=CC=C1,-0.1,15.278933,4.6502495,5.208705,-2.1661348,-7.637803,5.591253,-4.7283664,19.96237,-6.5030007,-4.3907433,2.52654623,8.91671720810594
CC(C)(C)C1=CC=CC=C1O,-6.9,24.950382,34.673172,7.13537,44.55097,31.022655,5.320068,16.55068,19.056837,28.010569,25.524677,23.679538,11.4766940181813
OCCC1=CC=CC=N1,-7.9,22.497187,36.892155,27.75827,24.538338,38.611423,46.51148,40.12149,28.21533,38.01518,31.649078,33.4809931,7.32703031532199
CCCCCCCCCCCC(=O)OC,5.1,-1.4728498,8.441131,10.92362,1.9523228,0.116543055,7.923694,14.787486,9.504041,9.256788,3.8846254,6.5317401455,4.92439040921217
CC1=CC=C(C)C(C)=C1C,-6.1,3.9291463,-4.6558,36.221855,15.832986,16.77499,30.304083,48.335354,15.817846,6.492297,14.360206,18.34129633,15.0678573460528
ICCCCI,5.9,4.347073,-22.42127,-16.409344,-0.08952729,-11.311375,-21.070246,-1.0810658,-25.532108,-4.7586117,0.40844434,-9.791803045,10.3916400735134
CCC(=O)C1=CC=C(C)C=C1,7.1,48.75561,26.61493,11.745071,4.450504,34.593742,52.98893,28.720272,12.78109,18.387682,47.066628,28.6104459,16.1362320017123
CC(C)(C)C1=CC=CC(=N1)C(C)(C)C,2.1,27.135904,4.2458973,37.992302,46.868332,51.297,34.207172,35.751637,28.840528,26.038528,62.112762,35.44900623,15.0850542954494
CC#CCO,-2.1,-15.225925,21.997498,-18.299198,10.811091,-22.205414,-8.856731,-6.525749,9.722225,-13.749647,-2.5336237,-4.48654737,13.6757784748941
C1COCCN1,-4.9,-1.0262609,-1.8308609,24.913443,20.282732,-36.568073,-6.2105784,28.63727,-8.142976,-39.6273,19.07978,-0.0492824199999997,22.8757672730832
CCC1=CC=C(N)C=C1,-4.9,1.1358418,-28.572433,-15.392204,-24.136871,-24.949015,-5.159699,-6.7319365,-17.058743,-15.337563,-27.722193,-16.39248157,9.69125573949838
CCN,-81.1,-38.9308,-36.63026,-81.83553,-167.58531,-47.839798,-90.39241,-131.80504,-95.8679,-53.040882,-84.209724,-82.8137654,39.9816776721748
CCOC(=O)C(C)C,-88.1,-70.05369,-57.223278,-86.08455,-121.957214,-54.45959,-72.647606,-90.60404,-57.344997,-73.0059,-89.77539,-77.3156255,19.5438475963057
CCCC(=O)OCCC(C)C,-73.1,-70.1485,-86.22857,-68.36872,-70.372314,-58.071632,-71.472946,-59.653282,-78.61151,-49.976105,-81.27449,-69.4178069,10.5666335567962
CC(C)COC(C)=O,-98.9,-70.162964,-48.23079,-26.142937,-68.20627,-52.18497,-58.17043,-77.50518,-46.054955,-49.295,-63.95774,-55.9911236,14.107838891061
FC1=CC=C(C=C1)C1=CC=CC=C1,74.1,44.53326,57.53239,56.572422,39.72064,48.72933,37.243496,38.95338,48.132084,50.62278,45.215897,46.7255679,6.64379770253174
C#CC1=CC=CC=C1,-44.9,-4.4411645,-14.412304,-4.360563,5.257612,-4.013072,-2.1527019,14.092755,-13.887831,18.78093,-14.536422,-1.96727614,11.0074567914795
CCCCC(=O)OCC,-91.1,-82.98954,-68.60166,-56.032196,-75.99695,-83.773605,-58.46262,-91.992065,-66.70246,-72.14625,-80.42796,-73.7125306,10.9298416790597
CCCCCOC(=O)CCC,-73.1,-79.87871,-87.904274,-71.8316,-84.7245,-68.68096,-75.436005,-67.7268,-64.41535,-77.37713,-81.97795,-75.9953279,7.37846281578702
CCC(C)C(C)(C)C,-112.1,-64.33737,-94.10987,-80.86278,-65.709496,-69.846344,-78.518394,-59.266953,-77.169846,-94.1917,-76.26638,-76.0279133,11.1807859275676
CCCC(C)(C)C,-123.9,-71.95846,-101.27604,-76.407555,-52.24145,-84.33789,-73.33244,-128.73557,-57.066097,-62.470356,-106.31384,-81.4139698,22.9017157157208
CCCCC(C)C,-118.1,-105.51958,-111.43253,-110.53334,-96.64452,-97.62419,-109.41107,-107.48855,-82.07483,-102.8816,-98.06386,-102.167407,8.48562043175872
CC(C)(Cl)Cl,-33.9,-14.141918,-34.75141,12.4806,11.950956,-62.933376,-26.027496,-37.573185,3.1098075,-1.6409101,46.7174,-10.28095316,29.8226904115551
