SMILES;MP;split;Number
OC(=O)c1oc2c(c1C)cccc2;196;Test;4101
OC1OCCOC1O;101;Test;467
Ic1ccc(c(c1)C(=O)O)Br;175;Test;2169
N#CC1=C(N)Oc2c(C1c1ccccc1)c(=O)n(c(c2)C)Cc1ccccc1;276;Test;10564
COc1cccc(c1C(=O)N)F;192;Test;2639
[O-][N+](=O)c1ccc(cc1Cl)S(=O)(=O)Cl;38;Test;3819
Brc1cc(Br)cc(c1)Br;123;Test;632
CC(c1ncc[nH]1)C;129;Test;2785
ClC(C(Br)Cl)Br;-26;Test;24089
CCC1(C(=O)NC(=O)NC1=O)C1=CC2CC(C1)CC2;213;Test;17988
O=C(CC(C)(C)C)OCC(=O)C1(O)CCC2C1(C)CC(O)C1C2CCC2=CC(=O)CCC12C;168;Test;19735
COc1c(Br)ccc(c1C(=O)O)C;125;Test;10851
O=C(c1cccnc1)NC(c1ccccc1)Cc1ccccc1;159;Test;25462
Oc1cc(F)c(cc1F)Br;52;Test;4687
O=Cc1c(F)cccc1F;16;Test;1777
O=C(N1CCNCC1)OC(C)(C)C;46;Test;323
NC(=O)NN=C1C=C(C)CCC1C(C)C;220;Test;9787
Brc1ccc(c(c1)[N+](=O)[O-])N;112;Test;4744
Oc1ccc(cc1)C1COc2c(C1)ccc(c2)O;189.5;Test;25039
CC(C(=O)N)C;128;Test;7356
OC(=O)Cc1c(F)cccc1F;101;Test;1788
COc1cccc(c1)S(=O)(=O)N;132;Test;4057
N#Cc1cc(F)c(cc1Cl)Cl;46;Test;1442
Cc1cc(C)c(c(c1)[N+](=O)[O-])O;70;Test;1531
Fc1ccc2c(c1)cccc2;61;Test;23135
O=C(c1ccc(c(c1)N)N)c1ccccc1;117;Test;3271
O=C(C1C(=O)C2(C(C1CC2)(C)C)C)OCC1(C)CCC(C1(C)C)C;146;Test;11334
CCCCCCCCCCCCCCCCCC(=C)C;20;Test;14699
CCOC(=S)N;41;Test;25454
c1ccc(cc1)Oc1nc(nc(n1)Oc1ccccc1)Oc1ccccc1;233.5;Test;18375
O=C(c1ccccc1)OC1CCC2(C(C1)CC(=C)C1C2CCC2(C1CCC2OC(=O)c1ccccc1)C)C;192;Test;11965
CCCCCCCCCCCCCCCC(=O)ON;22;Test;23311
C#CC1(O)CCC2C1(C)CCC1C2CCC2C1(C)CCC(C2)O;257;Test;10162
O=C(c1ccccc1)NC1Cc2c1cccc2;157;Test;10832
Clc1ccc(cc1)C(C1C(=O)N(N=C1C(F)(F)F)c1ccccc1)O;168;Test;10657
CC1=Nc2ccccc2Sc2c1c(=O)n(c1c2cccc1)c1ccccc1;231;Test;12242
O=c1oc2ccccc2c(c1CN1CCCCC1)N;190;Test;10502
CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CCC;49;Test;21466
CCOC(=O)C(=O)C;-58;Test;7206
OC(=O)c1c(cccc1C(F)(F)F)C(F)(F)F;138;Test;1688
Ic1ccccc1I;27;Test;19222
O=c1occc2c1cccc2;47;Test;23207
Cc1cn([C@@H]2O[C@@H](C=C2)CO)c(=O)[nH]c1=O;159.5;Test;16282
NC(=O)c1ccc(cc1)Br;192;Test;4793
O=c1c(Br)coc2c1cccc2;96;Test;3730
CC=Cc1cccc(c1O)OC;81;Test;25765
COc1c(cccc1C(=O)O)B(O)O;157.35;Test;27190
ON=C(c1ccccc1)C=Cc1ccccc1;116;Test;9949
C=CCC1=C(O)C2=CC=C3C(C2=C(C1=O)O)(C)CC(=O)C(=C3C)C;171;Test;10127
COc1c(OC)c(OC(=O)C)c2c(c1OC(=O)C)ccc(c2)F;102.5;Test;26169
CC(=O)c1ccc2c(c1)oc(=O)[nH]2;236;Test;6054
[N-]=[N+]=Nc1ccccc1c1ccccc1;49;Test;12736
CC(=O)Oc1cccc2c1nccc2;55;Test;6248
Sc1nnc(n1n1cccc1)C(F)(F)F;165;Test;10511
CC(=O)OC(c1cccc(c1)[N+](=O)[O-])OC(=O)C;72;Test;24537
N#CC(=Cc1c(Cl)cccc1Cl)c1nc2c(n1C)cccc2;186;Test;9709
O=C(c1ccccc1)NC(C)(C)C;134;Test;8158
NC(=O)N1CCCCC1;105;Test;23717
OC1CCCN(C1)C(=O)OC(C)(C)C;68;Test;337
c1ccc(nc1)c1cccc(n1)c1ccccn1;91;Test;1109
CCOC(=O)CCCCCCCC(=O)OCC;-18.5;Test;26979
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O;172.5;Test;17285
Clc1nc(Cl)c(cc1Cl)Cl;91;Test;1206
N#CC(=NNc1ccc(cc1)C)c1scc(n1)c1ccc(cc1)OC;152;Test;9651
O=C=Nc1cc(Cl)c(cc1OC)OC;93;Test;5818
Nc1cc(cc(c1Br)C(F)(F)F)C(F)(F)F;35;Test;2106
O=CN(CC(=O)O)O;119.5;Test;18938
CCCCCCS;-81;Test;170
O=C1CCCCCCC1;41;Test;6722
O=C1C=CC(=O)C2C1C1C=CC2C1;73;Test;12749
Clc1ccnc2c1cccc2C(F)(F)F;81;Test;4945
C=Cc1cccc(c1)O;1;Test;13540
COC(C(C(O)(C)C)(C(=O)OCC1=CCN2[C@H]1[C@H](CC2)OC(=O)C(=CC)C)O)C;95;Test;25686
Brc1sc(c(c1)Br)Br;27;Test;1220
CC(c1cc(cc(c1S(=O)(=O)Cl)C(C)C)C(C)C)C;96;Test;1387
CCCCOC(=O)c1ccc(cc1)O;69;Test;8009
N#Cc1c(cccc1F)Sc1ccc(cc1)Cl;70;Test;970
O=C1OC(=O)C(=C1C)C;96;Test;18873
[O-][N+](=O)c1cc2[N+](=C(C(=O)c2cc1C=Cc1ccccc1)c1ccccc1)[O-];233;Test;9899
COC(=O)C1=C(C)NC(=C(C1c1cccc(c1)[N+](=O)[O-])C(=O)OCCN(Cc1ccccc1)C)C;137;Test;16601
Nc1ccc(c(c1)I)C;36;Test;4025
Clc1c(N)cccc1Cl;22;Test;1248
OCc1ncc(c(c1C)[N+](=O)[O-])C;67;Test;3503
Cc1cc(O)c(cc1N)C;242.5;Test;15433
C#CCOC(=O)C(Oc1ccc(cc1)Oc1ncc(cc1F)Cl)C;59.5;Test;25864
O=C1CCCCC1Cc1ccccc1;29;Test;2071
Nc1ccc(c(c1)Cl)I;68;Test;3806
C=CC(=C)C;-146;Test;7375
CC(=O)Nc1c(Cl)cccc1Cl;181;Test;1734
c1ccc2c(c1)cc(cc2)Nc1ccc(cc1)Nc1ccc2c(c1)cccc2;235;Test;20884
CCCCc1cc2ccccc2c(c1C(=O)C)O;62;Test;10909
CCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](CCCC(C)C)C)C)C1)C;80;Test;6648
O=C1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC[C@@H]1[C@H]2O1;158;Test;27270
OCC1OC(C(C1O)O)n1cnc2c1cc(C)c(c2)C;198.5;Test;22492
O=C1CC[C@]2([C@]3([C@@H]1O3)C[C@@H](C2=O)[C@]1(O)CC[C@]2([C@]3([C@@H]1O3)CCC2=O)C)C;182.05;Test;27215
CC(=O)OC1(CCC2(C(C1)CCC1C2CCC2(C1CCC2O)C)C)C(=O)C;193;Test;12610
OC1CCC2(C(=CCC3C2CCC2(C3CC3=C2OC(=O)C(C3c2ccccc2)(C)C)C)C1)C;233;Test;10071
CC(CCCC(C1CCC2C1(C)CCCC2=CC=C1CC(O)CCC1=C)C)C;84.5;Test;25714
[O-][N+](=O)c1c(O)cccc1[N+](=O)[O-];144.5;Test;21357
Brc1ccc(c(c1)N)C(c1ccccc1)O;113;Test;11801
CCOC(=O)c1nn(c(c1C(=O)C1=NOC2C1C(=O)N(C2=O)c1ccc(cc1)Br)C)c1ccc(cc1)C;239;Test;10694
Cc1ccc(cc1)CCc1ccc(cc1)C;81;Test;681
O=C(c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F)NCC1CCCCN1;146;Test;21910
C1CC2CCCC(C1)C2;145.5;Test;24705
Oc1cccc(c1)C(C)C;26;Test;19192
CCCCCCCCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCCCCCCCC;66;Test;18932
O=C1CC2C(C)(C)CCCC2(C2=C1C(=O)C(=C(C2=O)O)C(C)C)C;198;Test;9242
CC/C=C/C;-136;Test;8566
CCCCCCF;-103;Test;19920
CSc1nc(Cl)cc(n1)Cl;40;Test;4487
CCCCN(c1ccc(cc1)/N=N/c1ccc(cc1)[N+](=O)[O-])CCC#N;118;Test;22745
CCSC(=O)NCCCN(C)C;120.5;Test;17524
CCOC(=O)C(CC)CC;151;Test;7061
CC(=O)N1N=C(C[C@@H]1c1ccc(c(c1)Cl)Cl)c1ccc2c(c1)cccc2;242.35;Test;27244
NNC(=O)c1ccc(cc1O)N;195;Test;23704
CCOC(=O)c1ccc(cc1)O;117;Test;7119
COc1ccccc1c1nnc2n1CN(CS2)c1ccccc1C;240;Test;12041
OC[C@H]1OC(C[C@@H]1O)n1ccc(=O)[nH]c1=O;166;Test;2533
[O-][N+](=O)c1ccc(c(c1)C(=O)N)Cl;179;Test;2389
NNc1c(Cl)cc(cc1Cl)C(F)(F)F;59;Test;1725
COc1cc(ccc1OCc1ccccc1)C(=O)C;86;Test;4634
CC1CCC(CC1)C;-36.9;Test;19428
O=C(C(=O)O)Nc1ccccc1;150;Test;19778
CC(=O)c1c(cc2c(c1O)cccc2)c1ccccc1;55;Test;10906
C#CC1(O)CCC2C1(C)CCC1C2CCC2=CC(=O)CCC12;203.5;Test;21696
CC(=CC(C)(C)C)C;-106;Test;1339
Cc1sc(c(n1)c1ccccc1)C;28;Test;1658
O=C1C(=Nc2c1cccc2)c1ccccn1;186;Test;11628
CN[C@H]([C@@H](c1ccccc1)O)C;36;Test;14758
Brc1ccc2c(c1)c[n+](cc2)[O-];180;Test;6210
N#Cc1cccc(c1)C(=O)O;222;Test;3869
OC(=O)c1cc(nc2c1cccc2)c1ccccc1;215;Test;3040
Nc1nccc(c1)C(F)(F)F;73;Test;1936
OS(=O)(=O)CCS(=O)(=O)O;173;Test;20450
O=c1nc2ccccc2nc(c1NNc1ccc2c(c1)cccc2)C(F)(F)F;151;Test;10576
O=C(c1ccccc1)c1ccccc1;48;Test;15612
[O-][N+](=O)c1ccccc1c1ccc(o1)C(=O)C;79;Test;10270
ClC(=O)c1cccc(c1)[N+](=O)[O-];33;Test;4145
CCCCCCCCCCCCN1CC(CC1=O)C(=O)OC;27.5;Test;25803
c1ccc(cc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1;273;Test;16434
OC(=O)CNc1ccccc1;118;Test;8136
ON=Cc1ccc(o1)c1ccccc1OC;128;Test;9584
CNCCS(=O)(=O)O;241.5;Test;20532
OC1CCCCCCCCC1=O;42;Test;24962
Nc1cccc2c1cc1ccccc1c2;116;Test;19277
c1cc(nc(c1)c1ccccc1)c1ccccc1;78;Test;1829
CC(=O)Nc1c(C)n(n(c1=O)c1ccccc1)C;202;Test;4514
OC(=O)C(c1ccc(cc1)Cl)(C)C;127;Test;4948
CC(=O)Oc1cccc(c1)C(=O)C;44;Test;14256
COC(=O)COc1ccccc1;245;Test;18302
O=C1C=C(C)C(=O)C(=C1C1=C(O)C(=O)C(=CC1=O)C)O;230;Test;26701
OCC(CO)(CO)CO;262;Test;8227
Cc1cc(O)c(cc1C)C(C)(C)C;46;Test;23770
O=C1C=CC(=O)N1c1ccc(cc1)C(=O)C;156;Test;7771
COc1cccc(c1C(=O)Cl)OC;65;Test;1803
NC(=O)Cc1cccs1;147;Test;3068
Fc1ccc(cc1)CC1Nc2cc(Cl)c(cc2S(=O)(=O)N1)S(=O)(=O)N;239;Test;23679
CCOC(=O)/C=C/N(C)C;18;Test;7070
CC1OC(=O)c2c(C1)ccc(c2O)C(=O)NC(C(=O)O)Cc1ccccc1;221;Test;25214
O=Cc1c(F)ccc(c1Cl)F;47;Test;2292
Fc1ccc(cc1)C(=CC1=C(N(C)C)C(=O)N(C1=O)c1ccccc1)c1ccc(cc1)F;156.85;Test;27076
Cc1c[nH]c(n1)c1ccccc1;175;Test;5379
ClC(=O)c1ccccc1O;19;Test;23768
Brc1ccc(nc1)C(F)(F)F;40;Test;5733
C[C@@H]1CCC[C@@H](C1)C;-76;Test;13445
CCOC(=O)Nc1ccc2c(c1)nn(n2)C;148;Test;25849
COc1ccc(cc1)CC(=O)N;186;Test;5353
NNC(=O)c1ccc(c(c1)OC)OC;145;Test;3334
Cc1cc(Br)cc(c1)[N+](=O)[O-];83;Test;24615
O=C(c1ccccc1)Nc1ccccc1[N+](=O)[O-];96;Test;12805
OB(c1ccnc(c1Cl)Cl)O;137;Test;1262
CN1Cc2c(C3C1c1cc4OCOc4cc1CC3O)ccc1c2OCO1;135.5;Test;19844
CC(=O)OCCOCn1cnc2c1nc(N)nc2;135;Test;25905
CC=C1CCCC1;-130;Test;7225
CCCCCCCCCCCCCCCCOP(=O)(OCCCCCCCCCCCCCCCC)O;74.5;Test;23865
O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)O)C)C;253.85;Test;27112
CCP(=O)(c1ccccc1)c1ccccc1;122.5;Test;23803
CCC(=O)OC(=O)CC;-44;Test;8312
O=CC=Cc1ccc(c(c1)OC)O;84;Test;25570
CCC[C@H]1CCC[C@@H]1C;-123;Test;13597
s1cnc(c1)C1=NC2=CC=C[CH]C2=N1;304.5;Test;15083
CCOc1ccccc1C(=O)N;133;Test;2547
CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC;56;Test;15759
OC(=O)C1CC(=O)N(C1)C;152;Test;24689
N#CC1(OC(=O)c2c(C1)cccc2)c1ccccc1C;122;Test;11016
OC(=O)c1cccc(c1C)[N+](=O)[O-];184;Test;2878
CCCCCCCCC=CCCCCCCCC(=O)ON;71;Test;25895
FC(Oc1ccccc1S(=O)(=O)N)(F)F;189;Test;1052
COCC1(CCN(CC1)CCn1nnn(c1=O)CC)N(c1ccccc1)C(=O)CC;140.8;Test;16815
OCCN1CCCC1=O;20;Test;23969
Nc1ccc2c(c1)cccn2;117;Test;6065
Oc1nc2c(s1)cccc2;138;Test;2738
N#Cc1cc(Br)ccc1OC;91;Test;5765
COc1ccc2c(c1)cc1n(c2=O)cccc1;130;Test;10947
COc1cc(CC(=O)O)cc(c1)OC;103;Test;3493
O=C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)Nc1ccc(cc1)C(=O)C;224;Test;11849
O=C(C(=O)c1cccc2c1cccc2)c1ccccc1;102;Test;11642
CCCCCC(CO)C;-112;Test;13655
O=C(c1ccncc1)N/N=C/c1ccccc1O;232;Test;26073
CC(COC(=O)n1c(nc2c1cccc2)c1cscn1)C;72.5;Test;26148
FC(c1ccccc1S(=O)(=O)Cl)(F)F;23;Test;1064
CCCCC(CC)(O)C;-83;Test;13666
O=C(Nc1ccccc1)OC1C=CC=CC(C1)OC(=O)Nc1ccccc1;181;Test;10152
CC(=O)C1=CCC2(C(C1)CCC1C2CCC2(C1CCC2=O)C)C;153;Test;10207
OC(=O)C/C(=C/C(=O)O)/C(=O)O;118;Test;6669
c1ccc2c(n1)c1ncccc1cc2;118;Test;754
[O-][N+](=O)c1ccc(cc1O)N1CCOCC1;144;Test;5631
COC(=O)C(=O)OC;52;Test;6912
O=C(n1cccc1[Si](O)(C)C)OC(C)(C)C;55;Test;342
OCCNC(=O)c1cc(CC=C)cc(c1O)OC;95;Test;8760
COc1cc(cc(c1OC)OC)C(=O)Cl;80;Test;3255
CCCCCCCCCC(=O)OC(=O)CCCCCCCCC;24.7;Test;23848
Clc1ccc(cc1)c1onc2c1cc(cc2)C(=O)Cl;180.35;Test;27213
Ic1ccc(cc1)C(=O)N(C(C)(C)C)NC(=O)c1ccccc1;234.5;Test;26182
FC(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F;-25;Test;16038
[O-][n+]1cccc(c1)F;67;Test;3967
OC1CCC2(C(C1)CCC1C2CCC2(C1CCC12OCCO1)C)C;151;Test;11998
CCOCOc1ccc(cc1)C(=O)Nc1cccc(c1Cl)Cl;92.5;Test;26321
OC(=O)CCc1cccc(c1)F;45;Test;3118
Clc1ccc2c(c1)C(=NCC(=O)N2CC1CC1)c1ccccc1F;118;Test;8825
COc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O;212;Test;5666
[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1C1C(=O)c2c(C1=O)cccc2)Cl;185;Test;11832
CC(CC(=O)O)O;38;Test;4014
C[C@H](C(C)(C)C)C1=Cc2ccccc2[C@H](N=N1)C;102.35;Test;27141
CCCCCCCC(O)C;-35;Test;3001
O=C(c1ccc(c(c1)Cl)Cl)Nc1ccc2c(c1)nn(n2)C1CCCC1;207;Test;26218
C1CN2[C@H]3N1CCN1[C@H]3N(CC2)CC1;30;Test;6671
CCCCCCCCCCCC;-10;Test;8034
CCCCNCC(=O)Nc1c(C)cccc1Cl;45.5;Test;17794
O=C1OC(c2c1cccc2)(c1cc(Br)c(c(c1)Br)O)c1cc(Br)c(c(c1)Br)O;278.5;Test;22947
CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O;122.5;Test;16787
BrC#N;52;Test;6689
O[C@@H]1CO[C@@H]([C@H]([C@H]1O)O)O;112;Test;6994
BrCc1cccc(c1)B(O)O;215;Test;3153
Cc1ccc(c(c1)Br)N;15;Test;2143
CCCC(C(C)C)(C)C;-117;Test;13623
O=C=Nc1cc(OC)ccc1OC;40;Test;1646
ClC1CCCCC1Cl;-1.5;Test;18836
O=C/C(=C(\C(=O)O)/Br)/Br;123;Test;7742
[O-][N+](=O)c1cc(C=NNc2ccccc2)ccc1C=NNc1ccccc1;185;Test;9312
CCc1cc2c(cc1C(=O)C)C(C)(C)CCC2(C)C;46.5;Test;21003
CC1COc2c(N1C(=O)C(Cl)Cl)cccc2;107.6;Test;22875
NC(=O)CN1CCCC1=O;152;Test;21629
OCC(NCC(=O)O)(CO)CO;187;Test;24128
C[SiH](O[SiH](C)C)C;-78;Test;761
SCCS;-41;Test;649
COC(=O)C1C(O)CCC2C1CC1N(C2)CCC2=C1N=C1C2=CC=C[CH]1;268;Test;22038
OC(=O)Cn1cncn1;203;Test;183
N[C@H](c1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)C;326.8;Test;16450
N#CC(=Cc1ccc(cc1)F)c1nc(c(s1)N=Nc1c(Br)cc(cc1Br)Br)C;171;Test;9670
COc1ccccc1C1Sc2n(N1)c(nn2)c1cccnc1;221;Test;12115
COc1ccc(cc1)C(=O)C1=NOC2C1C(=O)N(C2=O)c1cc(Cl)ccc1Cl;147;Test;10710
S=c1sc2c(n1CSc1nc3c(s1)cccc3)cccc2;211;Test;10363
COc1ccc(cc1F)C(=O)CCC(=O)O;171;Test;3117
OB(c1ccc(c(c1)C)Cl)O;240;Test;4910
COc1cccc(c1CBr)F;20;Test;2644
OC[C@H]([C@H]([C@H](CO)O)O)O;103;Test;6343
N#Cc1ccc(cc1)Cl;92;Test;4963
[O-][N+](=O)C(=Cc1ccccc1[N+](=O)[O-])c1ccccc1;107;Test;9887
ClC(=C(C(Cl)(Cl)Cl)Cl)Cl;-73;Test;7287
CCSC(=O)N;109;Test;26691
ClCC(=O)Nc1cccc(c1)[N+](=O)[O-];114;Test;2306
ON=[N+]1c2ccccc2C(=O)C1c1ccccc1;169;Test;10060
COc1cc(C=O)ccc1OCc1ccccc1;63;Test;4635
CC1=C2N=NN=C2C=C[CH]1;81.5;Test;24688
[O-][N+](=O)c1ccc2c(c1)C=CC1(O2)N(Cc2ccccc2)c2c(C1(C)C)cccc2;159;Test;10764
COC(=O)c1ccc(cc1Cl)[N+](=O)[O-];76;Test;7492
Cc1cnc2c(n1)cccc2;180.5;Test;17728
Nc1ccc2c(c1)nccn2;159;Test;24922
OC[C@H](C(=O)O)NC(=O)OC(C)(C)C;90;Test;7978
ON=C(CCc1oc2c(c1c1ccc(o1)C)cc(cc2Br)Br)C;158;Test;9975
OC(COc1cccc2c1C=CC2)CNC(C)C;88.5;Test;23689
[O-][N+](=O)OCC(CO)O;61;Test;19127
COc1ccc2c(c1)CCC1C2CCC2(C1CC(C2=O)Cl)C;179.5;Test;26417
CC=CC(C(C=CC)C)C;-64.8;Test;25739
CCCCCCCCCCCI;2;Test;14703
COC(=O)CCC(C1CCC2=C3C(CC(C12C)OC(=O)C)C1(C)CCC(CC1CC3)OC(=O)C)C;234;Test;12391
COc1ccc(cc1)C1(C)CCc2c(-c3c1cc(o3)C)c1c(o2)cccc1;145;Test;11226
OC(=O)C(c1ccc(c(c1)F)F)O;94;Test;3316
O=C(c1ccccc1)OOC(=O)C;37;Test;18970
CC1CS(=O)(=O)CCN1/N=C/c1ccc(o1)[N+](=O)[O-];181;Test;25861
Cc1ccc(c(c1Cl)Cl)Cl;43.5;Test;17724
OC(=O)Cc1cccc(c1Cl)Cl;134;Test;1260
CC(=O)c1ccc2c(c1O)cccc2;99;Test;1861
C=CC=O;-87;Test;6328
CNc1ccccc1C(=O)O;180.5;Test;23090
COc1ccccc1c1nnc2n1NC(S2)c1ccco1;226;Test;12100
CCCCCCCCCCCCCCCC(=O)C;48;Test;18076
OC(=O)Cc1cccc(c1)CC(=O)O;175;Test;548
[O-][N+](=O)C1(CCCCC1)[N+](=O)[O-];36;Test;24810
ClCCCBr;-59;Test;294
C=C1C2CCC(C1(C)C)C2;50;Test;15128
COc1cc(/C=N/NC(=O)c2ccncc2)ccc1OC;189;Test;25879
Fc1ccc(cc1)C1C2=C(Nc3c1ccc1c3cccc1)CC(CC2=O)(C)C;279;Test;10651
CCCCC(C(=O)O)O;61;Test;24560
Fc1ccc(c(c1)Cl)C(=O)O;185;Test;2332
COc1ccc(cc1NN=C1C(=O)C(=Cc2c1cccc2)C(=O)Nc1cccc(c1)[N+](=O)[O-])[N+](=O)[O-];335;Test;14822
CC(CC(O)C)C;-90;Test;15489
COc1cc(Br)cc(c1)Br;41.5;Test;14940
Cc1ccc(c(c1)C)CNC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-];180;Test;10306
Nc1nnc(s1)c1ccncc1;245;Test;1972
OS(=O)(=O)CCCN1CCOCC1;277;Test;15341
[O-][N+](=O)CCC(=O)O;64;Test;15393
CC(Oc1ccc(cc1)O)(C)C;152;Test;4338
OB(c1c(C)noc1C)O;107;Test;3513
CC1CCCCC1C;-49.9;Test;19467
OC(=O)C(Cl)(Cl)C;-5;Test;21254
COS(=O)(=O)c1ccccc1;-4;Test;7646
NC(=O)c1ccccc1Cl;142;Test;2448
c1ccc(cc1)OC(=Cc1ccc2c(c1)OCO2)c1nc2c(s1)cccc2;170;Test;9029
OC(=O)CCCOc1ccc(cc1C)Cl;100;Test;20849
O=C=Nc1ccc(cc1Cl)Cl;59;Test;1477
CC1=NC2=CC=C([CH]C2=N1)[N+](=O)[O-];224;Test;23808
CC(=CCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1)C;156.5;Test;22529
